Time,theta_ref,theta_med,I_LOOP_mA,V_RL_V,V_TX_V,I_IN_uA,v_cursor,erro_FE_pc,I_receptor_mA
0.0,0.0,-900.0,0.0,0.0,24.0,39.93610382080078,0.0,-25.0,0.0
0.0010000001,0.36000001430511475,-900.0,0.0,0.0,24.0,39.93610382080078,0.0002500000118743628,-25.010000228881836,0.0
0.0020000001,0.7200000286102295,-1.4376996755599976,3.993610143661499,0.9984025359153748,20.805110931396484,39.95212936401367,0.0005000000237487257,-0.059936102479696274,3.993610143661499
0.0030000001,1.0800000429153442,-1.0771228075027466,3.9952127933502197,0.9988031983375549,20.803829193115234,39.96815490722656,0.000750000006519258,-0.05992007628083229,3.9952127933502197
0.0040000001,1.440000057220459,-0.716545820236206,3.9968154430389404,0.9992038607597351,20.802547454833984,39.98418045043945,0.0010000000474974513,-0.05990405008196831,3.9968154430389404
0.0050000001,1.7999999523162842,-0.3559689223766327,3.998417854309082,0.9996044635772705,20.801265716552734,40.000205993652344,0.0012499999720603228,-0.059888023883104324,3.998417854309082
0.0060000001,2.1600000858306885,0.004608011804521084,4.000020503997803,1.0000051259994507,20.799983978271484,40.016231536865234,0.001500000013038516,-0.05987200140953064,4.000020503997803
0.0070000001,2.5199999809265137,0.3651849329471588,4.001623153686523,1.0004057884216309,20.798702239990234,40.032257080078125,0.0017500000540167093,-0.059855975210666656,4.001623153686523
0.0080000001,2.880000114440918,0.7257618308067322,4.003225803375244,1.000806450843811,20.79741859436035,40.048282623291016,0.0020000000949949026,-0.05983994901180267,4.003225803375244
0.0090000001,3.240000009536743,1.086338758468628,4.004827976226807,1.0012069940567017,20.7961368560791,40.064308166503906,0.0022499999031424522,-0.05982392281293869,4.004827976226807
0.010000000100000002,3.5999999046325684,1.4469157457351685,4.006430625915527,1.0016076564788818,20.79485511779785,40.0803337097168,0.0024999999441206455,-0.05980789661407471,4.006430625915527
0.011000000100000002,3.9600000381469727,1.8074926137924194,4.008033275604248,1.002008318901062,20.7935733795166,40.09635925292969,0.002749999985098839,-0.059791870415210724,4.008033275604248
0.012000000100000003,4.320000171661377,2.16806960105896,4.009635925292969,1.0024089813232422,20.79229164123535,40.11238479614258,0.003000000026077032,-0.05977584421634674,4.009635925292969
0.013000000100000004,4.679999828338623,2.528646469116211,4.0112385749816895,1.0028096437454224,20.7910099029541,40.12841033935547,0.0032500000670552254,-0.059759821742773056,4.0112385749816895
0.014000000100000005,5.039999961853027,2.889223337173462,4.01284122467041,1.0032103061676025,20.78972625732422,40.14443588256836,0.0035000001080334187,-0.05974379554390907,4.01284122467041
0.015000000100000006,5.400000095367432,3.249800205230713,4.014443397521973,1.0036108493804932,20.78844451904297,40.16046142578125,0.0037499999161809683,-0.05972776934504509,4.014443397521973
0.01600000010000001,5.760000228881836,3.610377311706543,4.016046047210693,1.0040115118026733,20.78716278076172,40.17648696899414,0.004000000189989805,-0.05971174314618111,4.016046047210693
0.01700000010000001,6.119999885559082,3.970954179763794,4.017648696899414,1.0044121742248535,20.78588104248047,40.19251251220703,0.0042500002309679985,-0.05969571694731712,4.017648696899414
0.01800000010000001,6.480000019073486,4.331531047821045,4.019251346588135,1.0048128366470337,20.78459930419922,40.20853805541992,0.0044999998062849045,-0.05967969074845314,4.019251346588135
0.01900000010000001,6.840000152587891,4.692108154296875,4.0208539962768555,1.0052134990692139,20.78331756591797,40.22456359863281,0.004749999847263098,-0.05966366454958916,4.0208539962768555
0.020000000100000012,7.199999809265137,5.052684783935547,4.022456169128418,1.0056140422821045,20.78203582763672,40.2405891418457,0.004999999888241291,-0.05964764207601547,4.022456169128418
0.021000000100000013,7.559999942779541,5.413261890411377,4.024058818817139,1.0060147047042847,20.780752182006836,40.256614685058594,0.005249999929219484,-0.05963161587715149,4.024058818817139
