t_s,theta_ref_graus,I_loop_mA,V_RL_V
0.139,50.04,4.21636663,1.05409166
0.14,50.4,4.2179692,1.0544923
0.141,50.76,4.21957176,1.05489294
0.142,51.12,4.22117433,1.05529358
0.143,51.48,4.22277689,1.05569422
0.144,51.84,4.22437945,1.05609486
0.145,52.2,4.22598202,1.0564955
0.146,52.56,4.22758458,1.05689615
0.147,52.92,4.22918715,1.05729679
0.148,53.28,4.23078971,1.05769743
0.149,53.64,4.23239227,1.05809807
0.15,54,4.23399484,1.05849871
0.151,54.36,4.2355974,1.05889935
0.152,54.72,4.23719997,1.05929999
0.153,55.08,4.23880253,1.05970063
0.154,55.44,4.2404051,1.06010127
0.155,55.8,4.24200766,1.06050191
0.156,56.16,4.24361022,1.06090256
0.157,56.52,4.24521279,1.0613032
0.158,56.88,4.24681535,1.06170384
0.159,57.24,4.24841792,1.06210448
0.16,57.6,4.25002048,1.06250512
0.161,57.96,4.25162304,1.06290576
0.162,58.32,4.25322561,1.0633064
0.163,58.68,4.25482817,1.06370704
0.164,59.04,4.25643074,1.06410768
0.165,59.4,4.2580333,1.06450833
0.166,59.76,4.25963586,1.06490897
0.167,60.12,4.26123843,1.06530961
0.168,60.48,4.26284099,1.06571025
0.169,60.84,4.26444356,1.06611089
0.17,61.2,4.26604612,1.06651153
0.171,61.56,4.26764869,1.06691217
0.172,61.92,4.26925125,1.06731281
0.173,62.28,4.27085381,1.06771345
0.174,62.64,4.27245638,1.06811409
0.175,63,4.27405894,1.06851474
0.176,63.36,4.27566151,1.06891538
0.177,63.72,4.27726407,1.06931602
0.178,64.08,4.27886663,1.06971666
0.179,64.44,4.2804692,1.0701173
0.18,64.8,4.28207176,1.07051794
0.181,65.16,4.28367433,1.07091858
0.182,65.52,4.28527689,1.07131922
0.183,65.88,4.28687945,1.07171986
0.184,66.24,4.28848202,1.0721205
0.185,66.6,4.29008458,1.07252115
0.186,66.96,4.29168715,1.07292179
0.187,67.32,4.29328971,1.07332243
0.188,67.68,4.29489227,1.07372307
0.189,68.04,4.29649484,1.07412371
0.19,68.4,4.2980974,1.07452435
0.191,68.76,4.29969997,1.07492499
0.192,69.12,4.30130253,1.07532563
0.193,69.48,4.3029051,1.07572627
0.194,69.84,4.30450766,1.07612691
0.195,70.2,4.30611022,1.07652756
0.196,70.56,4.30771279,1.0769282
0.197,70.92,4.30931535,1.07732884
0.198,71.28,4.31091792,1.07772948
0.199,71.64,4.31252048,1.07813012
0.2,72,4.31412304,1.07853076
0.201,72.36,4.31572561,1.0789314
0.202,72.72,4.31732817,1.07933204
0.203,73.08,4.31893074,1.07973268
0.204,73.44,4.3205333,1.08013333
0.205,73.8,4.32213586,1.08053397
0.206,74.16,4.32373843,1.08093461
0.207,74.52,4.32534099,1.08133525
0.208,74.88,4.32694356,1.08173589
0.209,75.24,4.32854612,1.08213653
0.21,75.6,4.33014869,1.08253717
0.211,75.96,4.33175125,1.08293781
0.212,76.32,4.33335381,1.08333845
0.213,76.68,4.33495638,1.08373909
0.214,77.04,4.33655894,1.08413974
