t_s,theta_ref_graus,I_loop_mA,V_RL_V
3.116,1121.76,8.98719997,2.24679999
3.117,1122.12,8.98880253,2.24720063
3.118,1122.48,8.9904051,2.24760127
3.119,1122.84,8.99200766,2.24800191
3.12,1123.2,8.99361022,2.24840256
3.121,1123.56,8.99521279,2.2488032
3.122,1123.92,8.99681535,2.24920384
3.123,1124.28,8.99841792,2.24960448
3.124,1124.64,9.00002048,2.25000512
3.125,1125,9.00162304,2.25040576
3.126,1125.36,9.00322561,2.2508064
3.127,1125.72,9.00482817,2.25120704
3.128,1126.08,9.00643074,2.25160768
3.129,1126.44,9.0080333,2.25200833
3.13,1126.8,9.00963586,2.25240897
3.131,1127.16,9.01123843,2.25280961
3.132,1127.52,9.01284099,2.25321025
3.133,1127.88,9.01444356,2.25361089
3.134,1128.24,9.01604612,2.25401153
3.135,1128.6,9.01764869,2.25441217
3.136,1128.96,9.01925125,2.25481281
3.137,1129.32,9.02085381,2.25521345
3.138,1129.68,9.02245638,2.25561409
3.139,1130.04,9.02405894,2.25601474
3.14,1130.4,9.02566151,2.25641538
3.141,1130.76,9.02726407,2.25681602
3.142,1131.12,9.02886663,2.25721666
3.143,1131.48,9.0304692,2.2576173
3.144,1131.84,9.03207176,2.25801794
3.145,1132.2,9.03367433,2.25841858
3.146,1132.56,9.03527689,2.25881922
3.147,1132.92,9.03687945,2.25921986
3.148,1133.28,9.03848202,2.2596205
3.149,1133.64,9.04008458,2.26002115
3.15,1134,9.04168715,2.26042179
3.151,1134.36,9.04328971,2.26082243
3.152,1134.72,9.04489227,2.26122307
3.153,1135.08,9.04649484,2.26162371
3.154,1135.44,9.0480974,2.26202435
3.155,1135.8,9.04969997,2.26242499
3.156,1136.16,9.05130253,2.26282563
3.157,1136.52,9.0529051,2.26322627
3.158,1136.88,9.05450766,2.26362691
3.159,1137.24,9.05611022,2.26402756
3.16,1137.6,9.05771279,2.2644282
3.161,1137.96,9.05931535,2.26482884
3.162,1138.32,9.06091792,2.26522948
3.163,1138.68,9.06252048,2.26563012
3.164,1139.04,9.06412304,2.26603076
3.165,1139.4,9.06572561,2.2664314
3.166,1139.76,9.06732817,2.26683204
3.167,1140.12,9.06893074,2.26723268
3.168,1140.48,9.0705333,2.26763333
3.169,1140.84,9.07213586,2.26803397
3.17,1141.2,9.07373843,2.26843461
3.171,1141.56,9.07534099,2.26883525
3.172,1141.92,9.07694356,2.26923589
3.173,1142.28,9.07854612,2.26963653
3.174,1142.64,9.08014869,2.27003717
3.175,1143,9.08175125,2.27043781
3.176,1143.36,9.08335381,2.27083845
3.177,1143.72,9.08495638,2.27123909
3.178,1144.08,9.08655894,2.27163974
3.179,1144.44,9.08816151,2.27204038
3.18,1144.8,9.08976407,2.27244102
3.181,1145.16,9.09136663,2.27284166
3.182,1145.52,9.0929692,2.2732423
3.183,1145.88,9.09457176,2.27364294
3.184,1146.24,9.09617433,2.27404358
3.185,1146.6,9.09777689,2.27444422
3.186,1146.96,9.09937945,2.27484486
3.187,1147.32,9.10098202,2.2752455
3.188,1147.68,9.10258458,2.27564615
3.189,1148.04,9.10418715,2.27604679
3.19,1148.4,9.10578971,2.27644743
3.191,1148.76,9.10739227,2.27684807
3.192,1149.12,9.10899484,2.27724871
3.193,1149.48,9.1105974,2.27764935
3.194,1149.84,9.11219997,2.27804999
3.195,1150.2,9.11380253,2.27845063
3.196,1150.56,9.1154051,2.27885127
3.197,1150.92,9.11700766,2.27925191
3.198,1151.28,9.11861022,2.27965256
3.199,1151.64,9.12021279,2.2800532
3.2,1152,9.12181535,2.28045384
3.201,1152.36,9.12341792,2.28085448
3.202,1152.72,9.12502048,2.28125512
3.203,1153.08,9.12662304,2.28165576
3.204,1153.44,9.12822561,2.2820564
3.205,1153.8,9.12982817,2.28245704
3.206,1154.16,9.13143074,2.28285768
3.207,1154.52,9.1330333,2.28325833
3.208,1154.88,9.13463586,2.28365897
3.209,1155.24,9.13623843,2.28405961
3.21,1155.6,9.13784099,2.28446025
3.211,1155.96,9.13944356,2.28486089
3.212,1156.32,9.14104612,2.28526153
3.213,1156.68,9.14264869,2.28566217
3.214,1157.04,9.14425125,2.28606281
3.215,1157.4,9.14585381,2.28646345
3.216,1157.76,9.14745638,2.28686409
3.217,1158.12,9.14905894,2.28726474
3.218,1158.48,9.15066151,2.28766538
3.219,1158.84,9.15226407,2.28806602
3.22,1159.2,9.15386663,2.28846666
3.221,1159.56,9.1554692,2.2888673
3.222,1159.92,9.15707176,2.28926794
3.223,1160.28,9.15867433,2.28966858
3.224,1160.64,9.16027689,2.29006922
3.225,1161,9.16187945,2.29046986
3.226,1161.36,9.16348202,2.2908705
3.227,1161.72,9.16508458,2.29127115
3.228,1162.08,9.16668715,2.29167179
3.229,1162.44,9.16828971,2.29207243
3.23,1162.8,9.16989227,2.29247307
3.231,1163.16,9.17149484,2.29287371
3.232,1163.52,9.1730974,2.29327435
3.233,1163.88,9.17469997,2.29367499
3.234,1164.24,9.17630253,2.29407563
3.235,1164.6,9.1779051,2.29447627
3.236,1164.96,9.17950766,2.29487691
3.237,1165.32,9.18111022,2.29527756
3.238,1165.68,9.18271279,2.2956782
3.239,1166.04,9.18431535,2.29607884
3.24,1166.4,9.18591792,2.29647948
3.241,1166.76,9.18752048,2.29688012
3.242,1167.12,9.18912304,2.29728076
3.243,1167.48,9.19072561,2.2976814
3.244,1167.84,9.19232817,2.29808204
3.245,1168.2,9.19393074,2.29848268
3.246,1168.56,9.1955333,2.29888333
3.247,1168.92,9.19713586,2.29928397
3.248,1169.28,9.19873843,2.29968461
3.249,1169.64,9.20034099,2.30008525
3.25,1170,9.20194356,2.30048589
3.251,1170.36,9.20354612,2.30088653
3.252,1170.72,9.20514869,2.30128717
3.253,1171.08,9.20675125,2.30168781
3.254,1171.44,9.20835381,2.30208845
3.255,1171.8,9.20995638,2.30248909
3.256,1172.16,9.21155894,2.30288974
3.257,1172.52,9.21316151,2.30329038
3.258,1172.88,9.21476407,2.30369102
3.259,1173.24,9.21636663,2.30409166
3.26,1173.6,9.2179692,2.3044923
3.261,1173.96,9.21957176,2.30489294
3.262,1174.32,9.22117433,2.30529358
3.263,1174.68,9.22277689,2.30569422
3.264,1175.04,9.22437945,2.30609486
3.265,1175.4,9.22598202,2.3064955
3.266,1175.76,9.22758458,2.30689615
3.267,1176.12,9.22918715,2.30729679
3.268,1176.48,9.23078971,2.30769743
3.269,1176.84,9.23239227,2.30809807
3.27,1177.2,9.23399484,2.30849871
3.271,1177.56,9.2355974,2.30889935
3.272,1177.92,9.23719997,2.30929999
3.273,1178.28,9.23880253,2.30970063
3.274,1178.64,9.2404051,2.31010127
3.275,1179,9.24200766,2.31050191
3.276,1179.36,9.24361022,2.31090256
3.277,1179.72,9.24521279,2.3113032
3.278,1180.08,9.24681535,2.31170384
3.279,1180.44,9.24841792,2.31210448
3.28,1180.8,9.25002048,2.31250512
3.281,1181.16,9.25162304,2.31290576
3.282,1181.52,9.25322561,2.3133064
3.283,1181.88,9.25482817,2.31370704
3.284,1182.24,9.25643074,2.31410768
3.285,1182.6,9.2580333,2.31450833
3.286,1182.96,9.25963586,2.31490897
3.287,1183.32,9.26123843,2.31530961
3.288,1183.68,9.26284099,2.31571025
3.289,1184.04,9.26444356,2.31611089
3.29,1184.4,9.26604612,2.31651153
3.291,1184.76,9.26764869,2.31691217
3.292,1185.12,9.26925125,2.31731281
3.293,1185.48,9.27085381,2.31771345
3.294,1185.84,9.27245638,2.31811409
3.295,1186.2,9.27405894,2.31851474
3.296,1186.56,9.27566151,2.31891538
3.297,1186.92,9.27726407,2.31931602
3.298,1187.28,9.27886663,2.31971666
3.299,1187.64,9.2804692,2.3201173
3.3,1188,9.28207176,2.32051794
3.301,1188.36,9.28367433,2.32091858
3.302,1188.72,9.28527689,2.32131922
3.303,1189.08,9.28687945,2.32171986
3.304,1189.44,9.28848202,2.3221205
3.305,1189.8,9.29008458,2.32252115
3.306,1190.16,9.29168715,2.32292179
3.307,1190.52,9.29328971,2.32332243
3.308,1190.88,9.29489227,2.32372307
3.309,1191.24,9.29649484,2.32412371
3.31,1191.6,9.2980974,2.32452435
3.311,1191.96,9.29969997,2.32492499
3.312,1192.32,9.30130253,2.32532563
3.313,1192.68,9.3029051,2.32572627
3.314,1193.04,9.30450766,2.32612691
3.315,1193.4,9.30611022,2.32652756
3.316,1193.76,9.30771279,2.3269282
3.317,1194.12,9.30931535,2.32732884
3.318,1194.48,9.31091792,2.32772948
3.319,1194.84,9.31252048,2.32813012
3.32,1195.2,9.31412304,2.32853076
3.321,1195.56,9.31572561,2.3289314
3.322,1195.92,9.31732817,2.32933204
3.323,1196.28,9.31893074,2.32973268
3.324,1196.64,9.3205333,2.33013333
3.325,1197,9.32213586,2.33053397
3.326,1197.36,9.32373843,2.33093461
3.327,1197.72,9.32534099,2.33133525
3.328,1198.08,9.32694356,2.33173589
3.329,1198.44,9.32854612,2.33213653
3.33,1198.8,9.33014869,2.33253717
3.331,1199.16,9.33175125,2.33293781
3.332,1199.52,9.33335381,2.33333845
3.333,1199.88,9.33495638,2.33373909
3.334,1200.24,9.33655894,2.33413974
3.335,1200.6,9.33816151,2.33454038
3.336,1200.96,9.33976407,2.33494102
3.337,1201.32,9.34136663,2.33534166
3.338,1201.68,9.3429692,2.3357423
3.339,1202.04,9.34457176,2.33614294
3.34,1202.4,9.34617433,2.33654358
3.341,1202.76,9.34777689,2.33694422
3.342,1203.12,9.34937945,2.33734486
3.343,1203.48,9.35098202,2.3377455
3.344,1203.84,9.35258458,2.33814615
3.345,1204.2,9.35418715,2.33854679
3.346,1204.56,9.35578971,2.33894743
3.347,1204.92,9.35739227,2.33934807
3.348,1205.28,9.35899484,2.33974871
3.349,1205.64,9.3605974,2.34014935
3.35,1206,9.36219997,2.34054999
3.351,1206.36,9.36380253,2.34095063
3.352,1206.72,9.3654051,2.34135127
3.353,1207.08,9.36700766,2.34175191
3.354,1207.44,9.36861022,2.34215256
3.355,1207.8,9.37021279,2.3425532
3.356,1208.16,9.37181535,2.34295384
3.357,1208.52,9.37341792,2.34335448
3.358,1208.88,9.37502048,2.34375512
3.359,1209.24,9.37662304,2.34415576
3.36,1209.6,9.37822561,2.3445564
3.361,1209.96,9.37982817,2.34495704
3.362,1210.32,9.38143074,2.34535768
3.363,1210.68,9.3830333,2.34575833
3.364,1211.04,9.38463586,2.34615897
3.365,1211.4,9.38623843,2.34655961
3.366,1211.76,9.38784099,2.34696025
3.367,1212.12,9.38944356,2.34736089
3.368,1212.48,9.39104612,2.34776153
3.369,1212.84,9.39264869,2.34816217
3.37,1213.2,9.39425125,2.34856281
3.371,1213.56,9.39585381,2.34896345
3.372,1213.92,9.39745638,2.34936409
3.373,1214.28,9.39905894,2.34976474
3.374,1214.64,9.40066151,2.35016538
3.375,1215,9.40226407,2.35056602
3.376,1215.36,9.40386663,2.35096666
3.377,1215.72,9.4054692,2.3513673
3.378,1216.08,9.40707176,2.35176794
3.379,1216.44,9.40867433,2.35216858
3.38,1216.8,9.41027689,2.35256922
3.381,1217.16,9.41187945,2.35296986
3.382,1217.52,9.41348202,2.3533705
3.383,1217.88,9.41508458,2.35377115
3.384,1218.24,9.41668715,2.35417179
3.385,1218.6,9.41828971,2.35457243
3.386,1218.96,9.41989227,2.35497307
3.387,1219.32,9.42149484,2.35537371
3.388,1219.68,9.4230974,2.35577435
3.389,1220.04,9.42469997,2.35617499
3.39,1220.4,9.42630253,2.35657563
3.391,1220.76,9.4279051,2.35697627
3.392,1221.12,9.42950766,2.35737691
3.393,1221.48,9.43111022,2.35777756
3.394,1221.84,9.43271279,2.3581782
3.395,1222.2,9.43431535,2.35857884
3.396,1222.56,9.43591792,2.35897948
3.397,1222.92,9.43752048,2.35938012
3.398,1223.28,9.43912304,2.35978076
3.399,1223.64,9.44072561,2.3601814
3.4,1224,9.44232817,2.36058204
3.401,1224.36,9.44393074,2.36098268
3.402,1224.72,9.4455333,2.36138333
3.403,1225.08,9.44713586,2.36178397
3.404,1225.44,9.44873843,2.36218461
3.405,1225.8,9.45034099,2.36258525
3.406,1226.16,9.45194356,2.36298589
3.407,1226.52,9.45354612,2.36338653
3.408,1226.88,9.45514869,2.36378717
3.409,1227.24,9.45675125,2.36418781
3.41,1227.6,9.45835381,2.36458845
3.411,1227.96,9.45995638,2.36498909
3.412,1228.32,9.46155894,2.36538974
3.413,1228.68,9.46316151,2.36579038
3.414,1229.04,9.46476407,2.36619102
3.415,1229.4,9.46636663,2.36659166
3.416,1229.76,9.4679692,2.3669923
3.417,1230.12,9.46957176,2.36739294
3.418,1230.48,9.47117433,2.36779358
3.419,1230.84,9.47277689,2.36819422
3.42,1231.2,9.47437945,2.36859486
3.421,1231.56,9.47598202,2.3689955
3.422,1231.92,9.47758458,2.36939615
3.423,1232.28,9.47918715,2.36979679
3.424,1232.64,9.48078971,2.37019743
3.425,1233,9.48239227,2.37059807
3.426,1233.36,9.48399484,2.37099871
3.427,1233.72,9.4855974,2.37139935
3.428,1234.08,9.48719997,2.37179999
3.429,1234.44,9.48880253,2.37220063
3.43,1234.8,9.4904051,2.37260127
3.431,1235.16,9.49200766,2.37300191
3.432,1235.52,9.49361022,2.37340256
3.433,1235.88,9.49521279,2.3738032
3.434,1236.24,9.49681535,2.37420384
3.435,1236.6,9.49841792,2.37460448
3.436,1236.96,9.50002048,2.37500512
3.437,1237.32,9.50162304,2.37540576
3.438,1237.68,9.50322561,2.3758064
3.439,1238.04,9.50482817,2.37620704
3.44,1238.4,9.50643074,2.37660768
3.441,1238.76,9.5080333,2.37700833
3.442,1239.12,9.50963586,2.37740897
3.443,1239.48,9.51123843,2.37780961
3.444,1239.84,9.51284099,2.37821025
3.445,1240.2,9.51444356,2.37861089
3.446,1240.56,9.51604612,2.37901153
3.447,1240.92,9.51764869,2.37941217
3.448,1241.28,9.51925125,2.37981281
3.449,1241.64,9.52085381,2.38021345
3.45,1242,9.52245638,2.38061409
3.451,1242.36,9.52405894,2.38101474
3.452,1242.72,9.52566151,2.38141538
3.453,1243.08,9.52726407,2.38181602
3.454,1243.44,9.52886663,2.38221666
3.455,1243.8,9.5304692,2.3826173
3.456,1244.16,9.53207176,2.38301794
3.457,1244.52,9.53367433,2.38341858
3.458,1244.88,9.53527689,2.38381922
3.459,1245.24,9.53687945,2.38421986
3.46,1245.6,9.53848202,2.3846205
3.461,1245.96,9.54008458,2.38502115
3.462,1246.32,9.54168715,2.38542179
3.463,1246.68,9.54328971,2.38582243
3.464,1247.04,9.54489227,2.38622307
3.465,1247.4,9.54649484,2.38662371
3.466,1247.76,9.5480974,2.38702435
3.467,1248.12,9.54969997,2.38742499
3.468,1248.48,9.55130253,2.38782563
3.469,1248.84,9.5529051,2.38822627
3.47,1249.2,9.55450766,2.38862691
3.471,1249.56,9.55611022,2.38902756
3.472,1249.92,9.55771279,2.3894282
3.473,1250.28,9.55931535,2.38982884
3.474,1250.64,9.56091792,2.39022948
3.475,1251,9.56252048,2.39063012
3.476,1251.36,9.56412304,2.39103076
3.477,1251.72,9.56572561,2.3914314
3.478,1252.08,9.56732817,2.39183204
3.479,1252.44,9.56893074,2.39223268
3.48,1252.8,9.5705333,2.39263333
3.481,1253.16,9.57213586,2.39303397
3.482,1253.52,9.57373843,2.39343461
3.483,1253.88,9.57534099,2.39383525
3.484,1254.24,9.57694356,2.39423589
3.485,1254.6,9.57854612,2.39463653
3.486,1254.96,9.58014869,2.39503717
3.487,1255.32,9.58175125,2.39543781
3.488,1255.68,9.58335381,2.39583845
3.489,1256.04,9.58495638,2.39623909
3.49,1256.4,9.58655894,2.39663974
3.491,1256.76,9.58816151,2.39704038
3.492,1257.12,9.58976407,2.39744102
3.493,1257.48,9.59136663,2.39784166
3.494,1257.84,9.5929692,2.3982423
3.495,1258.2,9.59457176,2.39864294
3.496,1258.56,9.59617433,2.39904358
3.497,1258.92,9.59777689,2.39944422
3.498,1259.28,9.59937945,2.39984486
3.499,1259.64,9.60098202,2.4002455
3.5,1260,9.60258458,2.40064615
3.501,1260.36,9.60418715,2.40104679
3.502,1260.72,9.60578971,2.40144743
3.503,1261.08,9.60739227,2.40184807
3.504,1261.44,9.60899484,2.40224871
3.505,1261.8,9.6105974,2.40264935
3.506,1262.16,9.61219997,2.40304999
3.507,1262.52,9.61380253,2.40345063
3.508,1262.88,9.6154051,2.40385127
3.509,1263.24,9.61700766,2.40425191
3.51,1263.6,9.61861022,2.40465256
3.511,1263.96,9.62021279,2.4050532
3.512,1264.32,9.62181535,2.40545384
3.513,1264.68,9.62341792,2.40585448
3.514,1265.04,9.62502048,2.40625512
3.515,1265.4,9.62662304,2.40665576
3.516,1265.76,9.62822561,2.4070564
3.517,1266.12,9.62982817,2.40745704
3.518,1266.48,9.63143074,2.40785768
3.519,1266.84,9.6330333,2.40825833
3.52,1267.2,9.63463586,2.40865897
3.521,1267.56,9.63623843,2.40905961
3.522,1267.92,9.63784099,2.40946025
3.523,1268.28,9.63944356,2.40986089
3.524,1268.64,9.64104612,2.41026153
3.525,1269,9.64264869,2.41066217
3.526,1269.36,9.64425125,2.41106281
3.527,1269.72,9.64585381,2.41146345
3.528,1270.08,9.64745638,2.41186409
3.529,1270.44,9.64905894,2.41226474
3.53,1270.8,9.65066151,2.41266538
3.531,1271.16,9.65226407,2.41306602
3.532,1271.52,9.65386663,2.41346666
3.533,1271.88,9.6554692,2.4138673
3.534,1272.24,9.65707176,2.41426794
3.535,1272.6,9.65867433,2.41466858
3.536,1272.96,9.66027689,2.41506922
3.537,1273.32,9.66187945,2.41546986
3.538,1273.68,9.66348202,2.4158705
3.539,1274.04,9.66508458,2.41627115
3.54,1274.4,9.66668715,2.41667179
3.541,1274.76,9.66828971,2.41707243
3.542,1275.12,9.66989227,2.41747307
3.543,1275.48,9.67149484,2.41787371
3.544,1275.84,9.6730974,2.41827435
3.545,1276.2,9.67469997,2.41867499
3.546,1276.56,9.67630253,2.41907563
3.547,1276.92,9.6779051,2.41947627
3.548,1277.28,9.67950766,2.41987691
3.549,1277.64,9.68111022,2.42027756
3.55,1278,9.68271279,2.4206782
3.551,1278.36,9.68431535,2.42107884
3.552,1278.72,9.68591792,2.42147948
3.553,1279.08,9.68752048,2.42188012
3.554,1279.44,9.68912304,2.42228076
3.555,1279.8,9.69072561,2.4226814
3.556,1280.16,9.69232817,2.42308204
3.557,1280.52,9.69393074,2.42348268
3.558,1280.88,9.6955333,2.42388333
3.559,1281.24,9.69713586,2.42428397
3.56,1281.6,9.69873843,2.42468461
3.561,1281.96,9.70034099,2.42508525
3.562,1282.32,9.70194356,2.42548589
3.563,1282.68,9.70354612,2.42588653
3.564,1283.04,9.70514869,2.42628717
3.565,1283.4,9.70675125,2.42668781
3.566,1283.76,9.70835381,2.42708845
3.567,1284.12,9.70995638,2.42748909
3.568,1284.48,9.71155894,2.42788974
3.569,1284.84,9.71316151,2.42829038
3.57,1285.2,9.71476407,2.42869102
3.571,1285.56,9.71636663,2.42909166
3.572,1285.92,9.7179692,2.4294923
3.573,1286.28,9.71957176,2.42989294
3.574,1286.64,9.72117433,2.43029358
3.575,1287,9.72277689,2.43069422
3.576,1287.36,9.72437945,2.43109486
3.577,1287.72,9.72598202,2.4314955
3.578,1288.08,9.72758458,2.43189615
3.579,1288.44,9.72918715,2.43229679
3.58,1288.8,9.73078971,2.43269743
3.581,1289.16,9.73239227,2.43309807
3.582,1289.52,9.73399484,2.43349871
3.583,1289.88,9.7355974,2.43389935
3.584,1290.24,9.73719997,2.43429999
3.585,1290.6,9.73880253,2.43470063
3.586,1290.96,9.7404051,2.43510127
3.587,1291.32,9.74200766,2.43550191
3.588,1291.68,9.74361022,2.43590256
3.589,1292.04,9.74521279,2.4363032
3.59,1292.4,9.74681535,2.43670384
3.591,1292.76,9.74841792,2.43710448
3.592,1293.12,9.75002048,2.43750512
3.593,1293.48,9.75162304,2.43790576
3.594,1293.84,9.75322561,2.4383064
3.595,1294.2,9.75482817,2.43870704
3.596,1294.56,9.75643074,2.43910768
3.597,1294.92,9.7580333,2.43950833
3.598,1295.28,9.75963586,2.43990897
3.599,1295.64,9.76123843,2.44030961
3.6,1296,9.76284099,2.44071025
3.601,1296.36,9.76444356,2.44111089
3.602,1296.72,9.76604612,2.44151153
3.603,1297.08,9.76764869,2.44191217
3.604,1297.44,9.76925125,2.44231281
3.605,1297.8,9.77085381,2.44271345
3.606,1298.16,9.77245638,2.44311409
3.607,1298.52,9.77405894,2.44351474
3.608,1298.88,9.77566151,2.44391538
3.609,1299.24,9.77726407,2.44431602
3.61,1299.6,9.77886663,2.44471666
3.611,1299.96,9.7804692,2.4451173
3.612,1300.32,9.78207176,2.44551794
3.613,1300.68,9.78367433,2.44591858
3.614,1301.04,9.78527689,2.44631922
3.615,1301.4,9.78687945,2.44671986
3.616,1301.76,9.78848202,2.4471205
3.617,1302.12,9.79008458,2.44752115
3.618,1302.48,9.79168715,2.44792179
3.619,1302.84,9.79328971,2.44832243
3.62,1303.2,9.79489227,2.44872307
3.621,1303.56,9.79649484,2.44912371
3.622,1303.92,9.7980974,2.44952435
3.623,1304.28,9.79969997,2.44992499
3.624,1304.64,9.80130253,2.45032563
3.625,1305,9.8029051,2.45072627
3.626,1305.36,9.80450766,2.45112691
3.627,1305.72,9.80611022,2.45152756
3.628,1306.08,9.80771279,2.4519282
3.629,1306.44,9.80931535,2.45232884
3.63,1306.8,9.81091792,2.45272948
3.631,1307.16,9.81252048,2.45313012
3.632,1307.52,9.81412304,2.45353076
3.633,1307.88,9.81572561,2.4539314
3.634,1308.24,9.81732817,2.45433204
3.635,1308.6,9.81893074,2.45473268
3.636,1308.96,9.8205333,2.45513333
3.637,1309.32,9.82213586,2.45553397
3.638,1309.68,9.82373843,2.45593461
3.639,1310.04,9.82534099,2.45633525
3.64,1310.4,9.82694356,2.45673589
3.641,1310.76,9.82854612,2.45713653
3.642,1311.12,9.83014869,2.45753717
3.643,1311.48,9.83175125,2.45793781
3.644,1311.84,9.83335381,2.45833845
3.645,1312.2,9.83495638,2.45873909
3.646,1312.56,9.83655894,2.45913974
3.647,1312.92,9.83816151,2.45954038
3.648,1313.28,9.83976407,2.45994102
3.649,1313.64,9.84136663,2.46034166
3.65,1314,9.8429692,2.4607423
3.651,1314.36,9.84457176,2.46114294
3.652,1314.72,9.84617433,2.46154358
3.653,1315.08,9.84777689,2.46194422
3.654,1315.44,9.84937945,2.46234486
3.655,1315.8,9.85098202,2.4627455
3.656,1316.16,9.85258458,2.46314615
3.657,1316.52,9.85418715,2.46354679
3.658,1316.88,9.85578971,2.46394743
3.659,1317.24,9.85739227,2.46434807
3.66,1317.6,9.85899484,2.46474871
3.661,1317.96,9.8605974,2.46514935
3.662,1318.32,9.86219997,2.46554999
3.663,1318.68,9.86380253,2.46595063
3.664,1319.04,9.8654051,2.46635127
3.665,1319.4,9.86700766,2.46675191
3.666,1319.76,9.86861022,2.46715256
3.667,1320.12,9.87021279,2.4675532
3.668,1320.48,9.87181535,2.46795384
3.669,1320.84,9.87341792,2.46835448
3.67,1321.2,9.87502048,2.46875512
3.671,1321.56,9.87662304,2.46915576
3.672,1321.92,9.87822561,2.4695564
3.673,1322.28,9.87982817,2.46995704
3.674,1322.64,9.88143074,2.47035768
3.675,1323,9.8830333,2.47075833
3.676,1323.36,9.88463586,2.47115897
3.677,1323.72,9.88623843,2.47155961
3.678,1324.08,9.88784099,2.47196025
3.679,1324.44,9.88944356,2.47236089
3.68,1324.8,9.89104612,2.47276153
3.681,1325.16,9.89264869,2.47316217
3.682,1325.52,9.89425125,2.47356281
3.683,1325.88,9.89585381,2.47396345
3.684,1326.24,9.89745638,2.47436409
3.685,1326.6,9.89905894,2.47476474
3.686,1326.96,9.90066151,2.47516538
3.687,1327.32,9.90226407,2.47556602
3.688,1327.68,9.90386663,2.47596666
3.689,1328.04,9.9054692,2.4763673
3.69,1328.4,9.90707176,2.47676794
3.691,1328.76,9.90867433,2.47716858
3.692,1329.12,9.91027689,2.47756922
3.693,1329.48,9.91187945,2.47796986
3.694,1329.84,9.91348202,2.4783705
3.695,1330.2,9.91508458,2.47877115
3.696,1330.56,9.91668715,2.47917179
3.697,1330.92,9.91828971,2.47957243
3.698,1331.28,9.91989227,2.47997307
3.699,1331.64,9.92149484,2.48037371
3.7,1332,9.9230974,2.48077435
3.701,1332.36,9.92469997,2.48117499
3.702,1332.72,9.92630253,2.48157563
3.703,1333.08,9.9279051,2.48197627
3.704,1333.44,9.92950766,2.48237691
3.705,1333.8,9.93111022,2.48277756
3.706,1334.16,9.93271279,2.4831782
3.707,1334.52,9.93431535,2.48357884
3.708,1334.88,9.93591792,2.48397948
3.709,1335.24,9.93752048,2.48438012
3.71,1335.6,9.93912304,2.48478076
3.711,1335.96,9.94072561,2.4851814
3.712,1336.32,9.94232817,2.48558204
3.713,1336.68,9.94393074,2.48598268
3.714,1337.04,9.9455333,2.48638333
3.715,1337.4,9.94713586,2.48678397
3.716,1337.76,9.94873843,2.48718461
3.717,1338.12,9.95034099,2.48758525
3.718,1338.48,9.95194356,2.48798589
3.719,1338.84,9.95354612,2.48838653
3.72,1339.2,9.95514869,2.48878717
3.721,1339.56,9.95675125,2.48918781
3.722,1339.92,9.95835381,2.48958845
3.723,1340.28,9.95995638,2.48998909
3.724,1340.64,9.96155894,2.49038974
3.725,1341,9.96316151,2.49079038
3.726,1341.36,9.96476407,2.49119102
3.727,1341.72,9.96636663,2.49159166
3.728,1342.08,9.9679692,2.4919923
3.729,1342.44,9.96957176,2.49239294
3.73,1342.8,9.97117433,2.49279358
3.731,1343.16,9.97277689,2.49319422
3.732,1343.52,9.97437945,2.49359486
3.733,1343.88,9.97598202,2.4939955
3.734,1344.24,9.97758458,2.49439615
3.735,1344.6,9.97918715,2.49479679
3.736,1344.96,9.98078971,2.49519743
3.737,1345.32,9.98239227,2.49559807
3.738,1345.68,9.98399484,2.49599871
3.739,1346.04,9.9855974,2.49639935
3.74,1346.4,9.98719997,2.49679999
3.741,1346.76,9.98880253,2.49720063
3.742,1347.12,9.9904051,2.49760127
3.743,1347.48,9.99200766,2.49800191
3.744,1347.84,9.99361022,2.49840256
3.745,1348.2,9.99521279,2.4988032
3.746,1348.56,9.99681535,2.49920384
3.747,1348.92,9.99841792,2.49960448
3.748,1349.28,10.0000205,2.50000512
3.749,1349.64,10.001623,2.50040576
3.75,1350,10.0032256,2.5008064
3.751,1350.36,10.0048282,2.50120704
3.752,1350.72,10.0064307,2.50160768
3.753,1351.08,10.0080333,2.50200833
3.754,1351.44,10.0096359,2.50240897
3.755,1351.8,10.0112384,2.50280961
3.756,1352.16,10.012841,2.50321025
3.757,1352.52,10.0144436,2.50361089
3.758,1352.88,10.0160461,2.50401153
3.759,1353.24,10.0176487,2.50441217
3.76,1353.6,10.0192512,2.50481281
3.761,1353.96,10.0208538,2.50521345
3.762,1354.32,10.0224564,2.50561409
3.763,1354.68,10.0240589,2.50601474
3.764,1355.04,10.0256615,2.50641538
3.765,1355.4,10.0272641,2.50681602
3.766,1355.76,10.0288666,2.50721666
3.767,1356.12,10.0304692,2.5076173
3.768,1356.48,10.0320718,2.50801794
3.769,1356.84,10.0336743,2.50841858
3.77,1357.2,10.0352769,2.50881922
3.771,1357.56,10.0368795,2.50921986
3.772,1357.92,10.038482,2.5096205
3.773,1358.28,10.0400846,2.51002115
3.774,1358.64,10.0416871,2.51042179
3.775,1359,10.0432897,2.51082243
3.776,1359.36,10.0448923,2.51122307
3.777,1359.72,10.0464948,2.51162371
3.778,1360.08,10.0480974,2.51202435
3.779,1360.44,10.0497,2.51242499
3.78,1360.8,10.0513025,2.51282563
3.781,1361.16,10.0529051,2.51322627
3.782,1361.52,10.0545077,2.51362691
3.783,1361.88,10.0561102,2.51402756
