tempo,x_referencia,y_instrumento
0.0,0.0,-0.087890625
0.016666666666666666,0.0087890625,0.0
0.03333333333333333,0.017578125,0.0
0.05,0.0263671875,0.0
0.06666666666666667,0.03515625,0.0
0.08333333333333333,0.0439453125,0.0
0.1,0.052734375,0.0
0.11666666666666667,0.0615234375,0.0
0.13333333333333333,0.0703125,0.0
0.15,0.0791015625,0.087890625
0.16666666666666666,0.087890625,0.0
0.18333333333333332,0.0966796875,0.087890625
0.2,0.10546875,0.087890625
0.21666666666666667,0.1142578125,0.087890625
0.23333333333333334,0.123046875,0.087890625
0.25,0.1318359375,0.087890625
0.26666666666666666,0.140625,0.087890625
0.2833333333333333,0.1494140625,0.087890625
0.3,0.158203125,0.087890625
0.31666666666666665,0.1669921875,0.17578125
0.3333333333333333,0.17578125,0.17578125
0.35,0.1845703125,0.17578125
0.36666666666666664,0.193359375,0.087890625
0.38333333333333336,0.2021484375,0.17578125
0.4,0.2109375,0.17578125
0.4166666666666667,0.2197265625,0.17578125
0.43333333333333335,0.228515625,0.17578125
0.45,0.2373046875,0.17578125
0.4666666666666667,0.24609375,0.17578125
0.48333333333333334,0.2548828125,0.17578125
0.5,0.263671875,0.17578125
0.5166666666666667,0.2724609375,0.263671875
0.5333333333333333,0.28125,0.263671875
0.55,0.2900390625,0.263671875
0.5666666666666667,0.298828125,0.263671875
0.5833333333333334,0.3076171875,0.263671875
0.6,0.31640625,0.263671875
0.6166666666666667,0.3251953125,0.263671875
0.6333333333333333,0.333984375,0.263671875
0.65,0.3427734375,0.263671875
0.6666666666666666,0.3515625,0.3515625
0.6833333333333333,0.3603515625,0.3515625
0.7,0.369140625,0.3515625
0.7166666666666667,0.3779296875,0.3515625
0.7333333333333333,0.38671875,0.3515625
0.75,0.3955078125,0.3515625
0.7666666666666667,0.404296875,0.3515625
0.7833333333333333,0.4130859375,0.3515625
0.8,0.421875,0.3515625
0.8166666666666667,0.4306640625,0.439453125
0.8333333333333334,0.439453125,0.439453125
0.85,0.4482421875,0.439453125
0.8666666666666667,0.45703125,0.439453125
0.8833333333333333,0.4658203125,0.439453125
0.9,0.474609375,0.439453125
0.9166666666666666,0.4833984375,0.439453125
0.9333333333333333,0.4921875,0.439453125
0.95,0.5009765625,0.439453125
0.9666666666666667,0.509765625,0.52734375
0.9833333333333333,0.5185546875,0.439453125
1.0,0.52734375,0.52734375
1.0166666666666666,0.5361328125,0.52734375
1.0333333333333334,0.544921875,0.52734375
1.05,0.5537109375,0.52734375
1.0666666666666667,0.5625,0.52734375
1.0833333333333333,0.5712890625,0.52734375
1.1,0.580078125,0.52734375
1.1166666666666667,0.5888671875,0.52734375
1.1333333333333333,0.59765625,0.615234375
1.15,0.6064453125,0.52734375
1.1666666666666667,0.615234375,0.52734375
1.1833333333333333,0.6240234375,0.52734375
1.2,0.6328125,0.615234375
1.2166666666666666,0.6416015625,0.615234375
1.2333333333333334,0.650390625,0.615234375
1.25,0.6591796875,0.615234375
1.2666666666666666,0.66796875,0.615234375
1.2833333333333334,0.6767578125,0.615234375
1.3,0.685546875,0.703125
1.3166666666666667,0.6943359375,0.703125
1.3333333333333333,0.703125,0.703125
1.35,0.7119140625,0.615234375
1.3666666666666667,0.720703125,0.615234375
1.3833333333333333,0.7294921875,0.703125
