tempo_ms,sinal_am,env_pos,env_neg,env_abs
0.000000,2.000000000,2.000000000,-2.000000000,2.000000000
0.100000,1.901995703,1.999876632,-1.999876632,1.999876632
0.200000,1.617634788,1.999506560,-1.999506560,1.999506560
0.300000,1.174917989,1.998889875,-1.998889875,1.998889875
0.400000,0.617424214,1.998026728,-1.998026728,1.998026728
0.500000,0.000000000,1.996917334,-1.996917334,1.996917334
0.600000,-0.616662560,1.995561965,-1.995561965,1.995561965
0.700000,-1.172020843,1.993960955,-1.993960955,1.993960955
0.800000,-1.611654648,1.992114701,-1.992114701,1.992114701
0.900000,-1.892624967,1.990023658,-1.990023658,1.990023658
1.000000,-1.987688341,1.987688341,-1.987688341,1.987688341
1.100000,-1.887951160,1.985109326,-1.985109326,1.985109326
1.200000,-1.603704074,1.982287251,-1.982287251,1.982287251
1.300000,-1.163357979,1.979222811,-1.979222811,1.979222811
1.400000,-0.610591859,1.975916762,-1.975916762,1.975916762
1.500000,-0.000000000,1.972369920,-1.972369920,1.972369920
1.600000,0.608325652,1.968583161,-1.968583161,1.968583161
1.700000,1.154737878,1.964557418,-1.964557418,1.964557418
1.800000,1.585910906,1.960293686,-1.960293686,1.960293686
1.900000,1.860069691,1.955793015,-1.955793015,1.955793015
2.000000,1.951056516,1.951056516,-1.951056516,1.951056516
2.100000,1.850837162,1.946085359,-1.946085359,1.946085359
2.200000,1.570205526,1.940880769,-1.940880769,1.940880769
2.300000,1.137625458,1.935444031,-1.935444031,1.935444031
2.400000,0.596333729,1.929776486,-1.929776486,1.929776486
2.500000,0.000000000,1.923879533,-1.923879533,1.923879533
2.600000,-0.592618770,1.917754626,-1.917754626,1.917754626
2.700000,-1.123494657,1.911403277,-1.911403277,1.911403277
2.800000,-1.541037457,1.904827052,-1.904827052,1.904827052
2.900000,-1.805131494,1.898027576,-1.898027576,1.898027576
3.000000,-1.891006524,1.891006524,-1.891006524,1.891006524
3.100000,-1.791567578,1.883765630,-1.883765630,1.883765630
3.200000,-1.517963991,1.876306680,-1.876306680,1.876306680
3.300000,-1.098354046,1.868631514,-1.868631514,1.868631514
3.400000,-0.575000908,1.860742027,-1.860742027,1.860742027
3.500000,-0.000000000,1.852640164,-1.852640164,1.852640164
3.600000,0.569928672,1.844327926,-1.844327926,1.844327926
3.700000,1.079060493,1.835807361,-1.835807361,1.835807361
3.800000,1.478139235,1.827080574,-1.827080574,1.827080574
3.900000,1.729163136,1.818149717,-1.818149717,1.818149717
4.000000,1.809016994,1.809016994,-1.809016994,1.809016994
4.100000,1.711601822,1.799684658,-1.799684658,1.799684658
4.200000,1.448265828,1.790155012,-1.790155012,1.790155012
4.300000,1.046510736,1.780430407,-1.780430407,1.780430407
4.400000,0.547118681,1.770513243,-1.770513243,1.770513243
4.500000,0.000000000,1.760405966,-1.760405966,1.760405966
4.600000,-0.540814063,1.750111070,-1.750111070,1.750111070
4.700000,-1.022529502,1.739631095,-1.739631095,1.739631095
4.800000,-1.398765002,1.728968627,-1.728968627,1.728968627
4.900000,-1.634035211,1.718126298,-1.718126298,1.718126298
5.000000,-1.707106781,1.707106781,-1.707106781,1.707106781
5.100000,-1.612908916,1.695912797,-1.695912797,1.695912797
5.200000,-1.362827237,1.684547106,-1.684547106,1.684547106
5.300000,-0.983372082,1.673012514,-1.673012514,1.673012514
5.400000,-0.513373599,1.661311865,-1.661311865,1.661311865
5.500000,-0.000000000,1.649448048,-1.649448048,1.649448048
5.600000,0.505991840,1.637423990,-1.637423990,1.637423990
5.700000,0.955293665,1.625242656,-1.625242656,1.625242656
5.800000,1.304869217,1.612907054,-1.612907054,1.612907054
5.900000,1.522090084,1.600420225,-1.600420225,1.600420225
6.000000,1.587785252,1.587785252,-1.587785252,1.587785252
6.100000,1.497919008,1.575005252,-1.575005252,1.575005252
6.200000,1.263751999,1.562083378,-1.562083378,1.562083378
6.300000,0.910492768,1.549022818,-1.549022818,1.549022818
6.400000,0.474596580,1.535826795,-1.535826795,1.535826795
6.500000,0.000000000,1.522498565,-1.522498565,1.522498565
6.600000,-0.466319443,1.509041416,-1.509041416,1.509041416
6.700000,-0.879008551,1.495458668,-1.495458668,1.495458668
6.800000,-1.198763904,1.481753674,-1.481753674,1.481753674
6.900000,-1.396084215,1.467929814,-1.467929814,1.467929814
7.000000,-1.453990500,1.453990500,-1.453990500,1.453990500
7.100000,-1.369463531,1.439939170,-1.439939170,1.439939170
7.200000,-1.153479677,1.425779292,-1.425779292,1.425779292
7.300000,-0.829667323,1.411514359,-1.411514359,1.411514359
7.400000,-0.431742442,1.397147891,-1.397147891,1.397147891
7.500000,-0.000000000,1.382683432,-1.382683432,1.382683432
7.600000,0.422773737,1.368124553,-1.368124553,1.368124553
