tempo_ms,sinal_am,env_pos,env_neg,env_abs
0.000000,2.500000000,2.500000000,-2.500000000,2.500000000
0.100000,2.377465297,2.499814949,-2.499814949,2.499814949
0.200000,2.021943684,2.499259841,-2.499259841,2.499259841
0.300000,1.468484358,2.498334812,-2.498334812,2.498334812
0.400000,0.771627824,2.497040093,-2.497040093,2.497040093
0.500000,0.000000000,2.495376001,-2.495376001,2.495376001
0.600000,-0.770485343,2.493342947,-2.493342947,2.493342947
0.700000,-1.464138639,2.490941433,-2.490941433,2.490941433
0.800000,-2.012973475,2.488172052,-2.488172052,2.488172052
0.900000,-2.363409193,2.485035487,-2.485035487,2.485035487
1.000000,-2.481532511,2.481532511,-2.481532511,2.481532511
1.100000,-2.356398482,2.477663989,-2.477663989,2.477663989
1.200000,-2.001047613,2.473430876,-2.473430876,2.473430876
1.300000,-1.451144342,2.468834216,-2.468834216,2.468834216
1.400000,-0.761379291,2.463875143,-2.463875143,2.463875143
1.500000,-0.000000000,2.458554881,-2.458554881,2.458554881
1.600000,0.757979980,2.452874742,-2.452874742,2.452874742
1.700000,1.438214191,2.446836128,-2.446836128,2.446836128
1.800000,1.974357861,2.440440529,-2.440440529,2.440440529
1.900000,2.314576279,2.433689522,-2.433689522,2.433689522
2.000000,2.426584774,2.426584774,-2.426584774,2.426584774
2.100000,2.300727485,2.419128038,-2.419128038,2.419128038
2.200000,1.950799792,2.411321153,-2.411321153,2.411321153
2.300000,1.412545561,2.403166046,-2.403166046,2.403166046
2.400000,0.739992097,2.394664729,-2.394664729,2.394664729
2.500000,0.000000000,2.385819299,-2.385819299,2.385819299
2.600000,-0.734419658,2.376631939,-2.376631939,2.376631939
2.700000,-1.391349360,2.367104915,-2.367104915,2.367104915
2.800000,-1.907047688,2.357240579,-2.357240579,2.357240579
2.900000,-2.232168983,2.347041364,-2.347041364,2.347041364
3.000000,-2.336509786,2.336509786,-2.336509786,2.336509786
3.100000,-2.211823108,2.325648445,-2.325648445,2.325648445
3.200000,-1.872437489,2.314460020,-2.314460020,2.314460020
3.300000,-1.353638443,2.302947272,-2.302947272,2.302947272
3.400000,-0.707992866,2.291113041,-2.291113041,2.291113041
3.500000,-0.000000000,2.278960247,-2.278960247,2.278960247
3.600000,0.700384511,2.266491888,-2.266491888,2.266491888
3.700000,1.324698113,2.253711042,-2.253711042,2.253711042
3.800000,1.812700355,2.240620861,-2.240620861,2.240620861
3.900000,2.118216446,2.227224576,-2.227224576,2.227224576
4.000000,2.213525492,2.213525492,-2.213525492,2.213525492
4.100000,2.091874474,2.199526988,-2.199526988,2.199526988
4.200000,1.767890244,2.185232519,-2.185232519,2.185232519
4.300000,1.275873478,2.170645611,-2.170645611,2.170645611
4.400000,0.666169524,2.155769864,-2.155769864,2.155769864
4.500000,0.000000000,2.140608948,-2.140608948,2.140608948
4.600000,-0.656712597,2.125166604,-2.125166604,2.125166604
4.700000,-1.239901627,2.109446642,-2.109446642,2.109446642
4.800000,-1.693639006,2.093452941,-2.093452941,2.093452941
4.900000,-1.975524559,2.077189447,-2.077189447,2.077189447
5.000000,-2.060660172,2.060660172,-2.060660172,2.060660172
5.100000,-1.943835116,2.043869195,-2.043869195,2.043869195
5.200000,-1.639732358,2.026820659,-2.026820659,2.026820659
5.300000,-1.181165497,2.009518770,-2.009518770,2.009518770
5.400000,-0.615551902,1.991967798,-1.991967798,1.991967798
5.500000,-0.000000000,1.974172072,-1.974172072,1.974172072
5.600000,0.604479263,1.956135985,-1.956135985,1.956135985
5.700000,1.139047871,1.937863985,-1.937863985,1.937863985
5.800000,1.552795328,1.919360580,-1.919360580,1.919360580
5.900000,1.807606868,1.900630338,-1.900630338,1.900630338
6.000000,1.881677878,1.881677878,-1.881677878,1.881677878
6.100000,1.771350254,1.862507878,-1.862507878,1.862507878
6.200000,1.491119502,1.843125067,-1.843125067,1.843125067
6.300000,1.071846526,1.823534227,-1.823534227,1.823534227
6.400000,0.557386373,1.803740192,-1.803740192,1.803740192
6.500000,0.000000000,1.783747847,-1.783747847,1.783747847
6.600000,-0.544970667,1.763562124,-1.763562124,1.763562124
6.700000,-1.024620200,1.743188003,-1.743188003,1.743188003
6.800000,-1.393637359,1.722630511,-1.722630511,1.722630511
6.900000,-1.618598065,1.701894721,-1.701894721,1.701894721
7.000000,-1.680985750,1.680985750,-1.680985750,1.680985750
7.100000,-1.578667038,1.659908755,-1.659908755,1.659908755
7.200000,-1.325711018,1.638668937,-1.638668937,1.638668937
7.300000,-0.950608359,1.617271538,-1.617271538,1.617271538
7.400000,-0.493105166,1.595721836,-1.595721836,1.595721836
7.500000,-0.000000000,1.574025149,-1.574025149,1.574025149
7.600000,0.479652109,1.552186829,-1.552186829,1.552186829
7.700000,0.899436203,1.530212266,-1.530212266,1.530212266
7.800000,1.220084096,1.508106880,-1.508106880,1.508106880
7.900000,1.413152173,1.485876127,-1.485876127,1.485876127
8.000000,1.463525492,1.463525492,-1.463525492,1.463525492
8.100000,1.370529967,1.441060488,-1.441060488,1.441060488
8.200000,1.147579813,1.418486659,-1.418486659,1.418486659
8.300000,0.820436283,1.395809575,-1.395809575,1.395809575
8.400000,0.424291097,1.373034831,-1.373034831,1.373034831
8.500000,-0.000000000,1.350168046,-1.350168046,1.350168046
8.600000,-0.410131948,1.327214862,-1.327214862,1.327214862
8.700000,-0.766578325,1.304180943,-1.304180943,1.304180943
8.800000,-1.036408996,1.281071972,-1.281071972,1.281071972
8.900000,-1.196327953,1.257893650,-1.257893650,1.257893650
9.000000,-1.234651698,1.234651698,-1.234651698,1.234651698
9.100000,-1.152064068,1.211351848,-1.211351848,1.211351848
9.200000,-0.961112068,1.187999850,-1.187999850,1.187999850
9.300000,-0.684535567,1.164601467,-1.164601467,1.164601467
9.400000,-0.352638597,1.141162470,-1.141162470,1.141162470
9.500000,-0.000000000,1.117688644,-1.117688644,1.117688644
9.600000,0.338122001,1.094185779,-1.094185779,1.094185779
9.700000,0.629317968,1.070659676,-1.070659676,1.070659676
9.800000,0.847134751,1.047116139,-1.047116139,1.047116139
9.900000,0.973464336,1.023560976,-1.023560976,1.023560976
10.000000,1.000000000,1.000000000,-1.000000000,1.000000000
10.100000,0.928648697,0.976439024,-0.976439024,0.976439024
10.200000,0.770899238,0.952883861,-0.952883861,0.952883861
10.300000,0.546252537,0.929340324,-0.929340324,0.929340324
10.400000,0.279911988,0.905814221,-0.905814221,0.905814221
10.500000,-0.000000000,0.882311356,-0.882311356,0.882311356
10.600000,-0.265395392,0.858837530,-0.858837530,0.858837530
10.700000,-0.491034938,0.835398533,-0.835398533,0.835398533
10.800000,-0.656921921,0.812000150,-0.812000150,0.812000150
10.900000,-0.750048964,0.788648152,-0.788648152,0.788648152
11.000000,-0.765348302,0.765348302,-0.765348302,0.765348302
11.100000,-0.705785080,0.742106350,-0.742106350,0.742106350
11.200000,-0.581624992,0.718928028,-0.718928028,0.718928028
11.300000,-0.408992180,0.695819057,-0.695819057,0.695819057
11.400000,-0.207902041,0.672785138,-0.672785138,0.672785138
11.500000,-0.000000000,0.649831954,-0.649831954,0.649831954
11.600000,0.193742892,0.626965169,-0.626965169,0.626965169
11.700000,0.355134221,0.604190425,-0.604190425,0.604190425
11.800000,0.470454175,0.581513341,-0.581513341,0.581513341
11.900000,0.531583065,0.558939512,-0.558939512,0.558939512
12.000000,0.536474508,0.536474508,-0.536474508,0.536474508
12.100000,0.488960859,0.514123873,-0.514123873,0.514123873
12.200000,0.397949893,0.491893120,-0.491893120,0.491893120
12.300000,0.276134302,0.469787734,-0.469787734,0.469787734
12.400000,0.138381880,0.447813171,-0.447813171,0.447813171
12.500000,-0.000000000,0.425974851,-0.425974851,0.425974851
12.600000,-0.124928823,0.404278164,-0.404278164,0.404278164
12.700000,-0.224962146,0.382728462,-0.382728462,0.382728462
12.800000,-0.292322970,0.361331063,-0.361331063,0.361331063
12.900000,-0.323445995,0.340091245,-0.340091245,0.340091245
13.000000,-0.319014250,0.319014250,-0.319014250,0.319014250
13.100000,-0.283514968,0.298105279,-0.298105279,0.298105279
13.200000,-0.224396630,0.277369489,-0.277369489,0.277369489
13.300000,-0.150950305,0.256811997,-0.256811997,0.256811997
13.400000,-0.073063322,0.236437876,-0.236437876,0.236437876
13.500000,-0.000000000,0.216252153,-0.216252153,0.216252153
13.600000,0.060647616,0.196259808,-0.196259808,0.196259808
13.700000,0.103723979,0.176465773,-0.176465773,0.176465773
13.800000,0.126914487,0.156874933,-0.156874933,0.156874933
13.900000,0.130762779,0.137492122,-0.137492122,0.137492122
14.000000,0.118322122,0.118322122,-0.118322122,0.118322122
14.100000,0.094506165,0.099369662,-0.099369662,0.099369662
14.200000,0.065238661,0.080639420,-0.080639420,0.080639420
14.300000,0.036522634,0.062136015,-0.062136015,0.062136015
14.400000,0.013554726,0.043864015,-0.043864015,0.043864015
14.500000,-0.000000000,0.025827928,-0.025827928,0.025827928
14.600000,-0.002482087,0.008032202,-0.008032202,0.008032202
14.700000,0.005594993,-0.009518770,0.009518770,0.009518770
14.800000,0.021698369,-0.026820659,0.026820659,0.026820659
14.900000,0.041722084,-0.043869195,0.043869195,0.043869195
15.000000,0.060660172,-0.060660172,0.060660172,0.060660172
15.100000,0.073411526,-0.077189447,0.077189447,0.077189447
15.200000,0.075605018,-0.093452941,0.093452941,0.093452941
15.300000,0.064331122,-0.109446642,0.109446642,0.109446642
15.400000,0.038678608,-0.125166604,0.125166604,0.125166604
15.500000,0.000000000,-0.140608948,0.140608948,0.140608948
15.600000,-0.048135535,-0.155769864,0.155769864,0.155769864
15.700000,-0.100302974,-0.170645611,0.170645611,0.170645611
15.800000,-0.149856255,-0.185232519,0.185232519,0.185232519
15.900000,-0.189761442,-0.199526988,0.199526988,0.199526988
16.000000,-0.213525492,-0.213525492,0.213525492,0.213525492
16.100000,-0.216103414,-0.227224576,0.227224576,0.227224576
16.200000,-0.194666366,-0.240620861,0.240620861,0.240620861
16.300000,-0.149127609,-0.253711042,0.253711042,0.253711042
16.400000,-0.082350522,-0.266491888,0.266491888,0.266491888
16.500000,-0.000000000,-0.278960247,0.278960247,0.278960247
16.600000,0.089958877,-0.291113041,0.291113041,0.291113041
16.700000,0.178067939,-0.302947272,0.302947272,0.302947272
16.800000,0.254403500,-0.314460020,0.314460020,0.314460020
16.900000,0.309710076,-0.325648445,0.325648445,0.325648445
17.000000,0.336509786,-0.336509786,0.336509786,0.336509786
17.100000,0.330055950,-0.347041364,0.347041364,0.347041364
17.200000,0.289013699,-0.357240579,0.357240579,0.357240579
17.300000,0.215778855,-0.367104915,0.367104915,0.367104915
17.400000,0.116385670,-0.376631939,0.376631939,0.376631939
17.500000,0.000000000,-0.385819299,0.385819299,0.385819299
17.600000,-0.121958108,-0.394664729,0.394664729,0.394664729
17.700000,-0.236975056,-0.403166046,0.403166046,0.403166046
17.800000,-0.332765803,-0.411321153,0.411321153,0.411321153
