tempo_ms,sinal_am,env_pos,env_neg,env_abs
9.000000,-1.078217233,1.078217233,-1.078217233,1.078217233
9.100000,-1.018059034,1.070450616,-1.070450616,1.070450616
9.200000,-0.859715352,1.062666617,-1.062666617,1.062666617
9.300000,-0.620035357,1.054867156,-1.054867156,1.054867156
9.400000,-0.323557528,1.047054157,-1.047054157,1.047054157
9.500000,-0.000000000,1.039229548,-1.039229548,1.039229548
9.600000,0.318718663,1.031395260,-1.031395260,1.031395260
9.700000,0.601629491,1.023553225,-1.023553225,1.023553225
9.800000,0.821722913,1.015705380,-1.015705380,1.015705380
9.900000,0.958525790,1.007853659,-1.007853659,1.007853659
10.000000,1.000000000,1.000000000,-1.000000000,1.000000000
10.100000,0.943587243,0.992146341,-0.992146341,0.992146341
10.200000,0.796311075,0.984294620,-0.984294620,0.984294620
10.300000,0.573941014,0.976446775,-0.976446775,0.976446775
10.400000,0.299315326,0.968604740,-0.968604740,0.968604740
10.500000,-0.000000000,0.960770452,-0.960770452,0.960770452
10.600000,-0.294476460,0.952945843,-0.952945843,0.952945843
10.700000,-0.555535147,0.945132844,-0.945132844,0.945132844
10.800000,-0.758318636,0.937333383,-0.937333383,0.937333383
10.900000,-0.884053999,0.929549384,-0.929549384,0.929549384
11.000000,-0.921782767,0.921782767,-0.921782767,0.921782767
11.100000,-0.869299371,0.914035450,-0.914035450,0.914035450
11.200000,-0.733219660,0.906309343,-0.906309343,0.906309343
11.300000,-0.528187562,0.898606352,-0.898606352,0.898606352
11.400000,-0.275312010,0.890928379,-0.890928379,0.890928379
11.500000,-0.000000000,0.883277318,-0.883277318,0.883277318
11.600000,0.270592294,0.875655056,-0.875655056,0.875655056
11.700000,0.510234909,0.868063475,-0.868063475,0.868063475
11.800000,0.696162721,0.860504447,-0.860504447,0.860504447
11.900000,0.811232033,0.852979837,-0.852979837,0.852979837
12.000000,0.845491503,0.845491503,-0.845491503,0.845491503
12.100000,0.797024631,0.838041291,-0.838041291,0.838041291
12.200000,0.671994627,0.830631040,-0.830631040,0.830631040
12.300000,0.483901602,0.823262578,-0.823262578,0.823262578
12.400000,0.252138623,0.815937724,-0.815937724,0.815937724
12.500000,-0.000000000,0.808658284,-0.808658284,0.808658284
12.600000,-0.247654271,0.801426055,-0.801426055,0.801426055
12.700000,-0.466844217,0.794242821,-0.794242821,0.794242821
12.800000,-0.636785653,0.787110354,-0.787110354,0.787110354
12.900000,-0.741853009,0.780030415,-0.780030415,0.780030415
13.000000,-0.773004750,0.773004750,-0.773004750,0.773004750
13.100000,-0.728542667,0.766035093,-0.766035093,0.766035093
13.200000,-0.614143540,0.759123163,-0.759123163,0.759123163
13.300000,-0.442173603,0.752270666,-0.752270666,0.752270666
13.400000,-0.230365770,0.745479292,-0.745479292,0.745479292
13.500000,-0.000000000,0.738750718,-0.738750718,0.738750718
13.600000,0.226227202,0.732086603,-0.732086603,0.732086603
13.700000,0.426431494,0.725488591,-0.725488591,0.725488591
13.800000,0.581649492,0.718958311,-0.718958311,0.718958311
13.900000,0.677625270,0.712497374,-0.712497374,0.712497374
14.000000,0.706107374,0.706107374,-0.706107374,0.706107374
14.100000,0.665539732,0.699789887,-0.699789887,0.699789887
14.200000,0.561090883,0.693546473,-0.693546473,0.693546473
14.300000,0.404031046,0.687378672,-0.687378672,0.687378672
14.400000,0.210529572,0.681288005,-0.681288005,0.681288005
14.500000,-0.000000000,0.675275976,-0.675275976,0.675275976
14.600000,-0.206838692,0.669344067,-0.669344067,0.669344067
14.700000,-0.389991837,0.663493743,-0.663493743,0.663493743
14.800000,-0.532111873,0.657726447,-0.657726447,0.657726447
14.900000,-0.620130316,0.652043602,-0.652043602,0.652043602
15.000000,-0.646446609,0.646446609,-0.646446609,0.646446609
15.100000,-0.609567169,0.640936851,-0.640936851,0.640936851
15.200000,-0.514142990,0.635515686,-0.635515686,0.635515686
15.300000,-0.370413127,0.630184453,-0.630184453,0.630184453
15.400000,-0.193118460,0.624944465,-0.624944465,0.624944465
15.500000,-0.000000000,0.619797017,-0.619797017,0.619797017
15.600000,0.189966151,0.614743379,-0.614743379,0.614743379
15.700000,0.358422510,0.609784796,-0.609784796,0.609784796
15.800000,0.489392578,0.604922494,-0.604922494,0.604922494
15.900000,0.570783864,0.600157671,-0.600157671,0.600157671
16.000000,0.595491503,0.595491503,-0.595491503,0.595491503
16.100000,0.562003206,0.590925141,-0.590925141,0.590925141
16.200000,0.474455874,0.586459713,-0.586459713,0.586459713
16.300000,0.342147632,0.582096319,-0.582096319,0.582096319
16.400000,0.178561155,0.577836037,-0.577836037,0.577836037
16.500000,0.000000000,0.573679918,-0.573679918,0.573679918
16.600000,-0.176025037,0.569628986,-0.569628986,0.569628986
16.700000,-0.332500855,0.565684243,-0.565684243,0.565684243
16.800000,-0.454543496,0.561846660,-0.561846660,0.561846660
16.900000,-0.530800986,0.558117185,-0.558117185,0.558117185
17.000000,-0.554496738,0.554496738,-0.554496738,0.554496738
17.100000,-0.524019027,0.550986212,-0.550986212,0.550986212
17.200000,-0.443006763,0.547586474,-0.547586474,0.547586474
17.300000,-0.319930550,0.544298362,-0.544298362,0.544298362
17.400000,-0.167216106,0.541122687,-0.541122687,0.541122687
17.500000,-0.000000000,0.538060234,-0.538060234,0.538060234
17.600000,0.165358627,0.535111757,-0.535111757,0.535111757
17.700000,0.312865149,0.532277985,-0.532277985,0.532277985
17.800000,0.428422728,0.529559616,-0.529559616,0.529559616
17.900000,0.501166194,0.526957321,-0.526957321,0.526957321
18.000000,0.524471742,0.524471742,-0.524471742,0.524471742
18.100000,0.496549929,0.522103493,-0.522103493,0.522103493
18.200000,0.420570039,0.519853157,-0.519853157,0.519853157
18.300000,0.304308940,0.517721291,-0.517721291,0.517721291
18.400000,0.159362666,0.515708419,-0.515708419,0.515708419
18.500000,0.000000000,0.513815040,-0.513815040,0.513815040
18.600000,-0.158229562,0.512041619,-0.512041619,0.512041619
18.700000,-0.299998889,0.510388595,-0.510388595,0.510388595
18.800000,-0.411673455,0.508856375,-0.508856375,0.508856375
18.900000,-0.482609194,0.507445337,-0.507445337,0.507445337
19.000000,-0.506155830,0.506155830,-0.506155830,0.506155830
19.100000,-0.480272291,0.504988171,-0.504988171,0.504988171
19.200000,-0.407698168,0.503942649,-0.503942649,0.503942649
19.300000,-0.295667457,0.503019522,-0.503019522,0.503019522
19.400000,-0.155194211,0.502219018,-0.502219018,0.502219018
19.500000,-0.000000000,0.501541333,-0.501541333,0.501541333
19.600000,0.154813384,0.500986636,-0.500986636,0.500986636
19.700000,0.294218884,0.500555063,-0.500555063,0.500555063
19.800000,0.404708098,0.500246720,-0.500246720,0.500246720
19.900000,0.475586923,0.500061684,-0.500061684,0.500061684
20.000000,0.500000000,0.500000000,-0.500000000,0.500000000
20.100000,0.475586923,0.500061684,-0.500061684,0.500061684
20.200000,0.404708098,0.500246720,-0.500246720,0.500246720
20.300000,0.294218884,0.500555063,-0.500555063,0.500555063
20.400000,0.154813384,0.500986636,-0.500986636,0.500986636
20.500000,0.000000000,0.501541333,-0.501541333,0.501541333
20.600000,-0.155194211,0.502219018,-0.502219018,0.502219018
20.700000,-0.295667457,0.503019522,-0.503019522,0.503019522
20.800000,-0.407698168,0.503942649,-0.503942649,0.503942649
20.900000,-0.480272291,0.504988171,-0.504988171,0.504988171
21.000000,-0.506155830,0.506155830,-0.506155830,0.506155830
21.100000,-0.482609194,0.507445337,-0.507445337,0.507445337
21.200000,-0.411673455,0.508856375,-0.508856375,0.508856375
21.300000,-0.299998889,0.510388595,-0.510388595,0.510388595
21.400000,-0.158229562,0.512041619,-0.512041619,0.512041619
21.500000,-0.000000000,0.513815040,-0.513815040,0.513815040
21.600000,0.159362666,0.515708419,-0.515708419,0.515708419
21.700000,0.304308940,0.517721291,-0.517721291,0.517721291
21.800000,0.420570039,0.519853157,-0.519853157,0.519853157
21.900000,0.496549929,0.522103493,-0.522103493,0.522103493
22.000000,0.524471742,0.524471742,-0.524471742,0.524471742
22.100000,0.501166194,0.526957321,-0.526957321,0.526957321
22.200000,0.428422728,0.529559616,-0.529559616,0.529559616
22.300000,0.312865149,0.532277985,-0.532277985,0.532277985
22.400000,0.165358627,0.535111757,-0.535111757,0.535111757
22.500000,0.000000000,0.538060234,-0.538060234,0.538060234
22.600000,-0.167216106,0.541122687,-0.541122687,0.541122687
22.700000,-0.319930550,0.544298362,-0.544298362,0.544298362
22.800000,-0.443006763,0.547586474,-0.547586474,0.547586474
22.900000,-0.524019027,0.550986212,-0.550986212,0.550986212
23.000000,-0.554496738,0.554496738,-0.554496738,0.554496738
23.100000,-0.530800986,0.558117185,-0.558117185,0.558117185
23.200000,-0.454543496,0.561846660,-0.561846660,0.561846660
23.300000,-0.332500855,0.565684243,-0.565684243,0.565684243
23.400000,-0.176025037,0.569628986,-0.569628986,0.569628986
23.500000,-0.000000000,0.573679918,-0.573679918,0.573679918
23.600000,0.178561155,0.577836037,-0.577836037,0.577836037
23.700000,0.342147632,0.582096319,-0.582096319,0.582096319
23.800000,0.474455874,0.586459713,-0.586459713,0.586459713
23.900000,0.562003206,0.590925141,-0.590925141,0.590925141
24.000000,0.595491503,0.595491503,-0.595491503,0.595491503
24.100000,0.570783864,0.600157671,-0.600157671,0.600157671
24.200000,0.489392578,0.604922494,-0.604922494,0.604922494
24.300000,0.358422510,0.609784796,-0.609784796,0.609784796
24.400000,0.189966151,0.614743379,-0.614743379,0.614743379
24.500000,0.000000000,0.619797017,-0.619797017,0.619797017
24.600000,-0.193118460,0.624944465,-0.624944465,0.624944465
24.700000,-0.370413127,0.630184453,-0.630184453,0.630184453
24.800000,-0.514142990,0.635515686,-0.635515686,0.635515686
24.900000,-0.609567169,0.640936851,-0.640936851,0.640936851
25.000000,-0.646446609,0.646446609,-0.646446609,0.646446609
25.100000,-0.620130316,0.652043602,-0.652043602,0.652043602
25.200000,-0.532111873,0.657726447,-0.657726447,0.657726447
25.300000,-0.389991837,0.663493743,-0.663493743,0.663493743
25.400000,-0.206838692,0.669344067,-0.669344067,0.669344067
25.500000,-0.000000000,0.675275976,-0.675275976,0.675275976
25.600000,0.210529572,0.681288005,-0.681288005,0.681288005
25.700000,0.404031046,0.687378672,-0.687378672,0.687378672
25.800000,0.561090883,0.693546473,-0.693546473,0.693546473
25.900000,0.665539732,0.699789887,-0.699789887,0.699789887
26.000000,0.706107374,0.706107374,-0.706107374,0.706107374
26.100000,0.677625270,0.712497374,-0.712497374,0.712497374
26.200000,0.581649492,0.718958311,-0.718958311,0.718958311
26.300000,0.426431494,0.725488591,-0.725488591,0.725488591
26.400000,0.226227202,0.732086603,-0.732086603,0.732086603
26.500000,0.000000000,0.738750718,-0.738750718,0.738750718
26.600000,-0.230365770,0.745479292,-0.745479292,0.745479292
26.700000,-0.442173603,0.752270666,-0.752270666,0.752270666
26.800000,-0.614143540,0.759123163,-0.759123163,0.759123163
26.900000,-0.728542667,0.766035093,-0.766035093,0.766035093
27.000000,-0.773004750,0.773004750,-0.773004750,0.773004750
