tempo,tempo_decorrido,x_referencia,y_instrumento,y_ajustado,residuo_mV
100.7099411,0.0,0.030999999,1.016955853,1.0281004021539184,-11.144549153918382
101.019084,0.3091429000000119,0.071999997,1.071697474,1.0650083798481675,6.689094151832498
101.343852,0.6339109000000036,0.114,1.085796118,1.1028165566652102,-17.020438665210193
101.7517588,1.04181770000001,0.153999999,1.13324666,1.1388243406378336,-5.577680637833593
102.2223423,1.5124011999999993,0.194999993,1.185450792,1.1757323147313041,9.718477268695791
102.6985851,1.9886440000000078,0.236000001,1.211750031,1.2126403014274996,-0.8902704274995621
103.1547352,2.44479410000001,0.27700001,1.266593933,1.2495482890238894,17.045643976110636
103.5251713,2.815230200000002,0.317000002,1.272072911,1.2855560666951504,-13.483155695150462
103.9677773,3.2578362,0.35800001,1.314274549,1.3224640533913457,-8.189504391345581
104.4047569,3.6948158000000006,0.400000006,1.354485035,1.360272223907026,-5.7871889070260085
104.8704553,4.160514200000009,0.439999998,1.385886908,1.396280001578287,-10.393093578286994
105.3248307,4.614889600000012,0.481000006,1.440717459,1.4331879882744822,7.529470725517795
105.7609559,5.051014800000004,0.522000015,1.458305717,1.4700959758708723,-11.790258870872261
106.2587954,5.548854300000002,0.563000023,1.519408464,1.5070039625670675,12.40450143293259
106.7065126,5.996571500000002,0.603999972,1.544523001,1.5439118961517804,0.6111048482195791
107.1147922,6.404851100000002,0.644999981,1.569945693,1.5808198837481702,-10.874190748170198
107.5190478,6.809106700000001,0.68599999,1.617978692,1.6177278713445602,0.2508206554399095
107.9209183,7.210977200000002,0.727999985,1.661322236,1.6555360409600457,5.786195039954256
108.2456642,7.5357230999999985,0.769999981,1.678464293,1.6933442114757262,-14.879918475726228
108.5152588,7.805317700000003,0.81099999,1.715239406,1.7302521990721162,-15.012793072116226
108.8201892,8.110248100000007,0.852999985,1.756841898,1.768060368687602,-11.218470687601956
109.0838368,8.373895700000006,0.893999994,1.786081433,1.8049683562839918,-18.886923283991663
109.3477416,8.637800500000012,0.93599999,1.85358119,1.842776526799672,10.804663200328024
109.6231403,8.913199200000008,0.976999998,1.8610605,1.8796845134958675,-18.62401349586751
109.8755749,9.165633800000009,1.018000007,1.909107566,1.9165925010922573,-7.484935092257228
