Time,Subsystem1.i_in,Subsystem1.i_read
0.0,0.0010013721,0.001001
1e-04,0.0010006278,0.001
0.0002,0.0010006214,0.001
0.0003,0.0010008415,0.001
0.0004,0.001000697,0.001
0.0005,0.0010011253,0.001001
0.0006,0.0010009228,0.001
0.0007,0.001001069,0.001001
0.0008,0.0010009892,0.001
0.0009,0.0010009664,0.001
0.001,0.0010011009,0.001001
0.0011,0.0010008586,0.001
0.0012,0.0010012627,0.001001
0.0013,0.0010013008,0.001001
0.0014,0.0010008746,0.001
0.0015,0.0010007237,0.001
0.0016,0.0010013898,0.001001
0.0017,0.0010007631,0.001
0.0018,0.0010009895,0.001
0.0019,0.0010007625,0.001
0.002,0.0010008608,0.001
0.0021,0.0010007704,0.001
0.0022,0.001001337,0.001001
0.0023,0.0010010143,0.001001
0.0024,0.0010004842,0.001
0.0025,0.0010002381,0.001
0.0026,0.0010013812,0.001001
0.0027,0.0010003011,0.001
0.0028,0.0010004893,0.001
0.0029,0.0010009869,0.001
0.003,0.0010016458,0.001001
0.0031,0.0010012471,0.001001
0.0032,0.0010012684,0.001001
0.0033,0.0010005576,0.001
0.0034,0.0010011316,0.001001
0.0035,0.0010011471,0.001001
0.0036,0.0010009641,0.001
0.0037,0.0010008401,0.001
0.0038,0.0010008906,0.001
0.0039,0.0010008925,0.001
0.004,0.001000956,0.001
0.0041,0.0010012332,0.001001
0.0042,0.0010013739,0.001001
0.0043,0.0010003672,0.001
0.0044,0.0010004813,0.001
0.0045,0.0010006233,0.001
0.0046,0.0010009549,0.001
0.0047,0.0010011925,0.001001
0.0048,0.0010013866,0.001001
0.0049,0.0010009831,0.001
0.005,0.0010008481,0.001
0.0051,0.0010008877,0.001
0.0052,0.0010007301,0.001
0.0053,0.0010006992,0.001
0.0054,0.0010005345,0.001
0.0055,0.0010012677,0.001001
0.0056,0.0010008625,0.001
0.0057,0.0010007077,0.001
0.0058,0.0010011491,0.001001
0.0059,0.0010009035,0.001
0.006,0.0010009664,0.001
0.0061,0.0010006855,0.001
0.0062,0.0010007289,0.001
0.0063,0.0010012841,0.001001
0.0064,0.0010010818,0.001001
0.0065,0.001000739,0.001
0.0066,0.0010009931,0.001
0.0067,0.0010011869,0.001001
0.0068,0.0010007805,0.001
0.0069,0.0010010466,0.001001
0.007,0.0010012035,0.001001
0.0071,0.0010008692,0.001
0.0072,0.0010012959,0.001001
0.0073,0.0010011145,0.001001
0.0074,0.0010006945,0.001
0.0075,0.0010011396,0.001001
0.0076,0.0010011428,0.001001
0.0077,0.0010012329,0.001001
0.0078,0.0010011528,0.001001
0.0079,0.0010010058,0.001001
0.008,0.0010003746,0.001
0.0081,0.0010005023,0.001
0.0082,0.0010006935,0.001
0.0083,0.0010004877,0.001
0.0084,0.0010009145,0.001
0.0085,0.0010010286,0.001001
0.0086,0.0010012432,0.001001
0.0087,0.0010013796,0.001001
0.0088,0.0010012224,0.001001
0.0089,0.0010007332,0.001
0.009,0.00100131,0.001001
0.0091,0.0010011602,0.001001
0.0092,0.0010008301,0.001
0.0093,0.0010009907,0.001
0.0094,0.0010012758,0.001001
0.0095,0.0010008836,0.001
0.0096,0.0010012424,0.001001
0.0097,0.0010011311,0.001001
0.0098,0.0010008275,0.001
0.0099,0.0010007855,0.001
0.01,0.0010007063,0.001
0.0101,0.0010006126,0.001
0.0102,0.0010010245,0.001001
0.0103,0.0010013559,0.001001
0.0104,0.0010007583,0.001
0.0105,0.0010003716,0.001
0.0106,0.0010010506,0.001001
0.0107,0.0010007353,0.001
0.0108,0.0010004701,0.001
0.0109,0.0010008469,0.001
0.011,0.0010011892,0.001001
0.0111,0.0010008529,0.001
0.0112,0.0010013484,0.001001
0.0113,0.0010008051,0.001
0.0114,0.0010015868,0.001001
0.0115,0.001001113,0.001001
0.0116,0.0010012259,0.001001
0.0117,0.0010008506,0.001
0.0118,0.001001365,0.001001
0.0119,0.0010013558,0.001001
0.012,0.0010007215,0.001
0.0121,0.0010008859,0.001
0.0122,0.0010005945,0.001
0.0123,0.0010007598,0.001
0.0124,0.0010010642,0.001001
0.0125,0.0010007551,0.001
0.0126,0.0010011226,0.001001
0.0127,0.0010008235,0.001
0.0128,0.0010009082,0.001
0.0129,0.0010007173,0.001
0.013,0.001000974,0.001
0.0131,0.001001289,0.001001
0.0132,0.0010004146,0.001
0.0133,0.0010006662,0.001
0.0134,0.0010008402,0.001
0.0135,0.0010005139,0.001
0.0136,0.001000244,0.001
0.0137,0.0010011196,0.001001
0.0138,0.0010008949,0.001
0.0139,0.0010008104,0.001
0.014,0.0010010579,0.001001
0.0141,0.0010005618,0.001
0.0142,0.0010008075,0.001
0.0143,0.0010012311,0.001001
0.0144,0.001000521,0.001
0.0145,0.0010006749,0.001
0.0146,0.0010010313,0.001001
0.0147,0.0010009937,0.001
0.0148,0.0010012678,0.001001
0.0149,0.0010004708,0.001
0.015,0.0010004472,0.001
0.0151,0.0010014545,0.001001
0.0152,0.0010013671,0.001001
0.0153,0.0010009691,0.001
0.0154,0.0010009934,0.001
0.0155,0.0010012955,0.001001
0.0156,0.0010007984,0.001
0.0157,0.0010009309,0.001
0.0158,0.0010008038,0.001
0.0159,0.0010016938,0.001001
0.016,0.0010004067,0.001
0.0161,0.0010007125,0.001
0.0162,0.001000851,0.001
0.0163,0.0010007408,0.001
0.0164,0.0010007964,0.001
0.0165,0.0010007706,0.001
0.0166,0.0010006208,0.001
0.0167,0.0010007529,0.001
0.0168,0.0010011777,0.001001
0.0169,0.0010007258,0.001
0.017,0.0010007077,0.001
0.0171,0.001001243,0.001001
0.0172,0.0010009744,0.001
0.0173,0.0010008557,0.001
0.0174,0.001000563,0.001
0.0175,0.0010011065,0.001001
0.0176,0.001000858,0.001
0.0177,0.0010007729,0.001
0.0178,0.0010006797,0.001
0.0179,0.0010010209,0.001001
0.018,0.0010009315,0.001
0.0181,0.001000759,0.001
0.0182,0.0010007275,0.001
0.0183,0.0010003889,0.001
0.0184,0.0010010395,0.001001
0.0185,0.0010009354,0.001
0.0186,0.0010012791,0.001001
0.0187,0.0010009973,0.001
0.0188,0.0010007434,0.001
0.0189,0.0010005514,0.001
0.019,0.0010013232,0.001001
0.0191,0.0010006835,0.001
0.0192,0.0010008863,0.001
0.0193,0.0010008967,0.001
0.0194,0.0010009055,0.001
0.0195,0.001000592,0.001
0.0196,0.0010014705,0.001001
0.0197,0.0010016306,0.001001
0.0198,0.0010012923,0.001001
0.0199,0.0010012424,0.001001
0.02,0.001001105,0.001001
0.0201,0.0010013378,0.001001
0.0202,0.0010007592,0.001
0.0203,0.0010009387,0.001
0.0204,0.0010005699,0.001
0.0205,0.0010007778,0.001
0.0206,0.0010007819,0.001
0.0207,0.0010001999,0.001
0.0208,0.0010005106,0.001
0.0209,0.001000886,0.001
0.021,0.0010008396,0.001
0.0211,0.0010006566,0.001
0.0212,0.001001706,0.001001
0.0213,0.0010010742,0.001001
0.0214,0.0010003409,0.001
0.0215,0.0010008176,0.001
0.0216,0.0010010066,0.001001
0.0217,0.0010014689,0.001001
0.0218,0.0010010842,0.001001
0.0219,0.0010008499,0.001
0.022,0.0010007207,0.001
0.0221,0.0010003104,0.001
0.0222,0.0010013186,0.001001
0.0223,0.0010013194,0.001001
0.0224,0.0010011693,0.001001
0.0225,0.0010006583,0.001
0.0226,0.001001354,0.001001
0.0227,0.0010011429,0.001001
0.0228,0.0010010296,0.001001
0.0229,0.001000696,0.001
0.023,0.0010013273,0.001001
0.0231,0.0010009697,0.001
0.0232,0.0010005701,0.001
0.0233,0.0010009338,0.001
0.0234,0.0010004736,0.001
0.0235,0.001000537,0.001
0.0236,0.0010004683,0.001
0.0237,0.0010011261,0.001001
0.0238,0.0010009371,0.001
0.0239,0.0010004289,0.001
0.024,0.0010016637,0.001001
0.0241,0.0010011026,0.001001
0.0242,0.0010009027,0.001
0.0243,0.0010007161,0.001
0.0244,0.0010008051,0.001
0.0245,0.0010006352,0.001
0.0246,0.0010008329,0.001
0.0247,0.0010009559,0.001
0.0248,0.0010010136,0.001001
0.0249,0.0010011651,0.001001
0.025,0.0010010371,0.001001
0.0251,0.0010003211,0.001
0.0252,0.0010012877,0.001001
0.0253,0.0010012359,0.001001
