Time,Subsystem1.i_in,Subsystem1.i_read
0.0,0.0010014334,0.001001
1e-04,0.0010012034,0.001001
0.0002,0.0010014148,0.001001
0.0003,0.001000546,0.001
0.0004,0.0010014242,0.001001
0.0005,0.0010011835,0.001001
0.0006,0.001000909,0.001
0.0007,0.0010006761,0.001
0.0008,0.0010008785,0.001
0.0009,0.0010009978,0.001
0.001,0.0010007914,0.001
0.0011,0.0010009885,0.001
0.0012,0.0010008828,0.001
0.0013,0.0010006389,0.001
0.0014,0.001000887,0.001
0.0015,0.0010002881,0.001
0.0016,0.0010012548,0.001001
0.0017,0.0010007676,0.001
0.0018,0.0010006535,0.001
0.0019,0.0010010797,0.001001
0.002,0.0010011381,0.001001
0.0021,0.0010009008,0.001
0.0022,0.0010012452,0.001001
0.0023,0.00100139,0.001001
0.0024,0.001001449,0.001001
0.0025,0.0010007536,0.001
0.0026,0.001001173,0.001001
0.0027,0.0010011034,0.001001
0.0028,0.0010012181,0.001001
0.0029,0.0010007749,0.001
0.003,0.0010009186,0.001
0.0031,0.0010009195,0.001
0.0032,0.0010013263,0.001001
0.0033,0.0010008193,0.001
0.0034,0.0010009466,0.001
0.0035,0.0010003215,0.001
0.0036,0.0010005361,0.001
0.0037,0.0010009238,0.001
0.0038,0.001001713,0.001001
0.0039,0.0010011934,0.001001
0.004,0.0010012701,0.001001
0.0041,0.0010007893,0.001
0.0042,0.0010008814,0.001
0.0043,0.0010005108,0.001
0.0044,0.0010008459,0.001
0.0045,0.001001215,0.001001
0.0046,0.0010008141,0.001
0.0047,0.0010011807,0.001001
0.0048,0.0010006839,0.001
0.0049,0.0010014086,0.001001
0.005,0.0010012313,0.001001
0.0051,0.0010008415,0.001
0.0052,0.0010006306,0.001
0.0053,0.0010010052,0.001001
0.0054,0.0010011978,0.001001
0.0055,0.0010003345,0.001
0.0056,0.0010012361,0.001001
0.0057,0.0010006427,0.001
0.0058,0.0010013324,0.001001
0.0059,0.0010009982,0.001
0.006,0.0010005027,0.001
0.0061,0.0010011414,0.001001
0.0062,0.0010008855,0.001
0.0063,0.0010006374,0.001
0.0064,0.0010001754,0.001
0.0065,0.0010005553,0.001
0.0066,0.0010013555,0.001001
0.0067,0.0010012556,0.001001
0.0068,0.0010006044,0.001
0.0069,0.0010009838,0.001
0.007,0.0010010214,0.001001
0.0071,0.0010012264,0.001001
0.0072,0.001000832,0.001
0.0073,0.0010016381,0.001001
0.0074,0.0010008973,0.001
0.0075,0.0010006895,0.001
0.0076,0.001001081,0.001001
0.0077,0.0010009549,0.001
0.0078,0.0010012474,0.001001
0.0079,0.0010003714,0.001
0.008,0.0010007755,0.001
0.0081,0.0010010569,0.001001
