Time,Subsystem1.i_in,Subsystem1.i_read
0.02,0.0010000993,0.001
0.0201,0.0010007825,0.001
0.0202,0.0010008428,0.001
0.0203,0.0010003232,0.001
0.0204,0.0010005066,0.001
0.0205,0.000999977,0.000999
0.0206,0.0010004535,0.001
0.0207,0.0010003339,0.001
0.0208,0.0010004936,0.001
0.0209,0.0010005853,0.001
0.021,0.0010003814,0.001
0.0211,0.0010008521,0.001
0.0212,0.0010005636,0.001
0.0213,0.0010009791,0.001
0.0214,0.0009998011,0.000999
0.0215,0.0010005872,0.001
0.0216,0.0010003635,0.001
0.0217,0.000999994,0.000999
0.0218,0.0010009435,0.001
0.0219,0.0010007783,0.001
0.022,0.0010004891,0.001
0.0221,0.0010003771,0.001
0.0222,0.0010003217,0.001
0.0223,0.0009998872,0.000999
0.0224,0.0010004395,0.001
0.0225,0.0010006626,0.001
0.0226,0.0010004664,0.001
0.0227,0.0009998583,0.000999
0.0228,0.001000345,0.001
0.0229,0.0010003517,0.001
0.023,0.0010013754,0.001001
0.0231,0.0010005925,0.001
0.0232,0.0010001587,0.001
0.0233,0.0010001834,0.001
0.0234,0.0010005644,0.001
0.0235,0.0010001846,0.001
0.0236,0.0010003248,0.001
0.0237,0.0010002493,0.001
0.0238,0.0010001843,0.001
0.0239,0.0010002557,0.001
0.024,0.0010001878,0.001
0.0241,0.001000566,0.001
0.0242,0.0010002922,0.001
0.0243,0.0010002181,0.001
0.0244,0.0010003063,0.001
0.0245,0.001000511,0.001
0.0246,0.0010004975,0.001
0.0247,0.0010009202,0.001
0.0248,0.0010008345,0.001
0.0249,0.0010005493,0.001
0.025,0.0010001047,0.001
0.0251,0.0010006673,0.001
0.0252,0.0010005566,0.001
0.0253,0.0010006443,0.001
0.0254,0.0010004663,0.001
0.0255,0.0010007927,0.001
0.0256,0.001000409,0.001
0.0257,0.0010004966,0.001
0.0258,0.0010003322,0.001
0.0259,0.0010007252,0.001
0.026,0.0010010387,0.001001
0.0261,0.0010004044,0.001
0.0262,0.0010004151,0.001
0.0263,0.001000112,0.001
0.0264,0.0010007964,0.001
0.0265,0.0010001247,0.001
0.0266,0.0010004999,0.001
0.0267,0.0010007293,0.001
0.0268,0.0010006528,0.001
0.0269,0.0010007139,0.001
0.027,0.0010000281,0.001
0.0271,0.0010005204,0.001
0.0272,0.0010001989,0.001
0.0273,0.0010000943,0.001
0.0274,0.0010004557,0.001
0.0275,0.0010004977,0.001
0.0276,0.0010005127,0.001
0.0277,0.001000494,0.001
0.0278,0.001000567,0.001
0.0279,0.0010006825,0.001
0.028,0.0010004034,0.001
0.0281,0.0010011004,0.001001
0.0282,0.0010012937,0.001001
0.0283,0.0010002882,0.001
0.0284,0.0010001381,0.001
0.0285,0.001000523,0.001
0.0286,0.0010008045,0.001
0.0287,0.0010002872,0.001
0.0288,0.0010007183,0.001
0.0289,0.0010006886,0.001
0.029,0.0010010817,0.001001
0.0291,0.0010004583,0.001
0.0292,0.0010005513,0.001
0.0293,0.0010004762,0.001
0.0294,0.0010006266,0.001
0.0295,0.0010005231,0.001
0.0296,0.0010008796,0.001
0.0297,0.0010002196,0.001
0.0298,0.0010002464,0.001
0.0299,0.0010003377,0.001
0.03,0.0010004782,0.001
0.0301,0.0010009545,0.001
0.0302,0.0010005898,0.001
0.0303,0.0010005402,0.001
0.0304,0.0010006024,0.001
0.0305,0.0010001668,0.001
0.0306,0.001000672,0.001
0.0307,0.0010003306,0.001
0.0308,0.0010004343,0.001
0.0309,0.0010009133,0.001
0.031,0.0010003557,0.001
0.0311,0.0010004241,0.001
0.0312,0.0010004938,0.001
0.0313,0.0010005436,0.001
0.0314,0.0010004587,0.001
0.0315,0.0010009797,0.001
0.0316,0.0010005452,0.001
0.0317,0.001000495,0.001
0.0318,0.0010002136,0.001
0.0319,0.001000151,0.001
0.032,0.0010003678,0.001
0.0321,0.0010003656,0.001
0.0322,0.0010007301,0.001
0.0323,0.0010003152,0.001
0.0324,0.0010005776,0.001
0.0325,0.0010009941,0.001
0.0326,0.0010007297,0.001
0.0327,0.0010007941,0.001
0.0328,0.0010006952,0.001
0.0329,0.0010008224,0.001
0.033,0.0010001948,0.001
0.0331,0.0010004841,0.001
0.0332,0.0010001735,0.001
0.0333,0.0010005337,0.001
0.0334,0.000999994,0.000999
0.0335,0.0010007069,0.001
0.0336,0.0010005268,0.001
0.0337,0.001000245,0.001
0.0338,0.0010002969,0.001
0.0339,0.0010002132,0.001
0.034,0.0010005977,0.001
0.0341,0.0010003735,0.001
0.0342,0.0009999454,0.000999
0.0343,0.0010003617,0.001
0.0344,0.0010002747,0.001
0.0345,0.001000688,0.001
0.0346,0.0010009183,0.001
0.0347,0.0010007274,0.001
0.0348,0.0010005966,0.001
0.0349,0.001000197,0.001
0.035,0.0010008686,0.001
0.0351,0.0010004072,0.001
0.0352,0.001001387,0.001001
0.0353,0.0010005487,0.001
0.0354,0.0010009386,0.001
0.0355,0.0010004577,0.001
0.0356,0.0009998651,0.000999
0.0357,0.0010010162,0.001001
0.0358,0.0010004158,0.001
0.0359,0.0010006538,0.001
0.036,0.0010007921,0.001
0.0361,0.0010003943,0.001
0.0362,0.0010008038,0.001
0.0363,0.0010009026,0.001
0.0364,0.0010007153,0.001
0.0365,0.0010006657,0.001
0.0366,0.0010011685,0.001001
0.0367,0.0010006997,0.001
0.0368,0.0010011502,0.001001
0.0369,0.001000502,0.001
0.037,0.0010003202,0.001
0.0371,0.0010001541,0.001
0.0372,0.0010007472,0.001
0.0373,0.0010012845,0.001001
0.0374,0.0010000232,0.001
0.0375,0.0010002551,0.001
0.0376,0.0010004193,0.001
0.0377,0.0010002268,0.001
0.0378,0.0010001796,0.001
0.0379,0.0010007563,0.001
0.038,0.0010009124,0.001
0.0381,0.0010005714,0.001
0.0382,0.0010006301,0.001
0.0383,0.0010002644,0.001
0.0384,0.0010005477,0.001
0.0385,0.0010007853,0.001
0.0386,0.0010001829,0.001
0.0387,0.0010000606,0.001
0.0388,0.0010002976,0.001
0.0389,0.0010004037,0.001
0.039,0.0010012108,0.001001
0.0391,0.001000119,0.001
0.0392,0.0010006945,0.001
0.0393,0.0010006176,0.001
0.0394,0.0010003276,0.001
0.0395,0.0010005577,0.001
0.0396,0.0010007102,0.001
0.0397,0.0010007032,0.001
0.0398,0.0010004485,0.001
0.0399,0.0010009196,0.001
0.04,0.0010007542,0.001
0.0401,0.0010003773,0.001
0.0402,0.0010003973,0.001
0.0403,0.0010003583,0.001
0.0404,0.001000086,0.001
0.0405,0.0010004329,0.001
0.0406,0.0010004231,0.001
0.0407,0.0010007182,0.001
0.0408,0.0010001116,0.001
0.0409,0.0010002295,0.001
0.041,0.0010004358,0.001
0.0411,0.0010005815,0.001
0.0412,0.001000558,0.001
0.0413,0.0010005734,0.001
0.0414,0.0010007032,0.001
0.0415,0.0010000751,0.001
0.0416,0.0009999635,0.000999
0.0417,0.0010009196,0.001
0.0418,0.0010007137,0.001
0.0419,0.001000144,0.001
0.042,0.0010001885,0.001
0.0421,0.001000578,0.001
0.0422,0.001000716,0.001
0.0423,0.0009998978,0.000999
0.0424,0.0010005957,0.001
0.0425,0.001000441,0.001
0.0426,0.0010006169,0.001
0.0427,0.0010004455,0.001
0.0428,0.0010005193,0.001
0.0429,0.0010005747,0.001
0.043,0.0010003704,0.001
0.0431,0.0010008002,0.001
