Time,Subsystem1.i_in,Subsystem1.i_read
0.0,0.0010009962,0.001
1e-04,0.0010004918,0.001
0.0002,0.001001145,0.001001
0.0003,0.001000796,0.001
0.0004,0.0010011547,0.001001
0.0005,0.0010005529,0.001
0.0006,0.001001261,0.001001
0.0007,0.0010003677,0.001
0.0008,0.001001096,0.001001
0.0009,0.0010007571,0.001
0.001,0.0010014186,0.001001
0.0011,0.0010001367,0.001
0.0012,0.001000496,0.001
0.0013,0.0010005636,0.001
0.0014,0.0010005047,0.001
0.0015,0.0010005733,0.001
0.0016,0.0010002402,0.001
0.0017,0.001000868,0.001
0.0018,0.0010006899,0.001
0.0019,0.0010007775,0.001
0.002,0.0010008805,0.001
0.0021,0.0010010087,0.001001
0.0022,0.0010008343,0.001
0.0023,0.001000841,0.001
0.0024,0.0010009175,0.001
0.0025,0.001000824,0.001
0.0026,0.0010005678,0.001
0.0027,0.0010006571,0.001
0.0028,0.0010009751,0.001
0.0029,0.0010011506,0.001001
0.003,0.0010010485,0.001001
0.0031,0.0010016053,0.001001
0.0032,0.0010007309,0.001
0.0033,0.0010006883,0.001
0.0034,0.0010007737,0.001
0.0035,0.0010008998,0.001
0.0036,0.0010005736,0.001
0.0037,0.0010011559,0.001001
0.0038,0.0010009791,0.001
0.0039,0.0010005719,0.001
0.004,0.0010006176,0.001
0.0041,0.001000596,0.001
0.0042,0.0010008907,0.001
0.0043,0.001000928,0.001
0.0044,0.0010011438,0.001001
0.0045,0.0010006719,0.001
0.0046,0.0010004889,0.001
0.0047,0.0010011293,0.001001
0.0048,0.0010005466,0.001
0.0049,0.0010013577,0.001001
0.005,0.0010012909,0.001001
0.0051,0.0010007159,0.001
0.0052,0.001001154,0.001001
0.0053,0.0010007682,0.001
0.0054,0.0010012167,0.001001
0.0055,0.0010006364,0.001
0.0056,0.0010010387,0.001001
0.0057,0.0010006117,0.001
0.0058,0.0010002215,0.001
0.0059,0.0010006035,0.001
0.006,0.001000365,0.001
0.0061,0.0010008096,0.001
0.0062,0.0010005607,0.001
0.0063,0.0010003857,0.001
0.0064,0.001000976,0.001
0.0065,0.0010006209,0.001
0.0066,0.0010011101,0.001001
0.0067,0.0010008852,0.001
0.0068,0.0010006138,0.001
0.0069,0.00100054,0.001
0.007,0.0010007295,0.001
0.0071,0.0010007484,0.001
0.0072,0.0010007835,0.001
0.0073,0.0010005874,0.001
0.0074,0.0010008385,0.001
0.0075,0.0010006579,0.001
0.0076,0.001001072,0.001001
0.0077,0.0010016038,0.001001
