Time,Subsystem1.i_in,Subsystem1.i_read
0.0,0.0010031674,0.001003
1e-04,0.0010029873,0.001002
0.0002,0.0010025782,0.001002
0.0003,0.0010029611,0.001002
0.0004,0.0010028029,0.001002
0.0005,0.0010031742,0.001003
0.0006,0.0010036315,0.001003
0.0007,0.0010034313,0.001003
0.0008,0.0010033663,0.001003
0.0009,0.0010028634,0.001002
0.001,0.001002778,0.001002
0.0011,0.0010028947,0.001002
0.0012,0.0010031525,0.001003
0.0013,0.001002892,0.001002
0.0014,0.0010034413,0.001003
0.0015,0.0010030523,0.001003
0.0016,0.001003038,0.001003
0.0017,0.0010028845,0.001002
0.0018,0.001003065,0.001003
0.0019,0.0010032355,0.001003
0.002,0.0010031539,0.001003
0.0021,0.0010027831,0.001002
0.0022,0.001003317,0.001003
0.0023,0.0010024086,0.001002
0.0024,0.0010031116,0.001003
0.0025,0.0010023494,0.001002
0.0026,0.0010026615,0.001002
0.0027,0.0010031608,0.001003
0.0028,0.0010030441,0.001003
0.0029,0.001002785,0.001002
0.003,0.0010028795,0.001002
0.0031,0.0010034837,0.001003
0.0032,0.0010030629,0.001003
0.0033,0.0010032114,0.001003
0.0034,0.001003173,0.001003
0.0035,0.0010027288,0.001002
0.0036,0.0010025251,0.001002
0.0037,0.001003283,0.001003
0.0038,0.0010028451,0.001002
0.0039,0.0010031988,0.001003
0.004,0.0010032182,0.001003
0.0041,0.0010025693,0.001002
0.0042,0.001002934,0.001002
0.0043,0.0010031165,0.001003
0.0044,0.0010032909,0.001003
0.0045,0.0010028684,0.001002
0.0046,0.0010026862,0.001002
0.0047,0.0010025181,0.001002
0.0048,0.001002471,0.001002
0.0049,0.0010029203,0.001002
0.005,0.0010034782,0.001003
0.0051,0.0010031691,0.001003
0.0052,0.0010032859,0.001003
0.0053,0.0010031005,0.001003
0.0054,0.0010036561,0.001003
0.0055,0.0010034463,0.001003
0.0056,0.0010031873,0.001003
0.0057,0.0010030436,0.001003
0.0058,0.001003003,0.001003
0.0059,0.0010033804,0.001003
0.006,0.0010031065,0.001003
0.0061,0.0010029154,0.001002
0.0062,0.0010025355,0.001002
0.0063,0.0010030485,0.001003
0.0064,0.0010024235,0.001002
0.0065,0.0010027013,0.001002
0.0066,0.0010032015,0.001003
0.0067,0.001002553,0.001002
0.0068,0.0010026991,0.001002
0.0069,0.0010024748,0.001002
0.007,0.0010032475,0.001003
0.0071,0.0010024105,0.001002
0.0072,0.0010027544,0.001002
0.0073,0.0010026542,0.001002
0.0074,0.0010030171,0.001003
